relation,number of relation,number of symmetric,percentage
Demand de-escalation of military engagement,10,0,0
Appeal for rights,9,0,0
Threaten non-force,9,0,0
"Return, release property",9,0,0
Demand material cooperation,9,0,0
"Ease economic sanctions, boycott, embargo",9,0,0
Engage in judicial cooperation,9,0,0
Demand economic aid,9,0,0
Refuse to ease administrative sanctions,8,0,0
Reduce or stop economic assistance,8,0,0
Express intent to accept mediation,8,0,0
Express intent to yield,8,0,0
Demand that target yields,8,0,0
"Demand change in institutions, regime",7,0,0
Accuse of war crimes,7,0,0
Express intent to ease administrative sanctions,7,0,0
Attempt to assassinate,7,0,0
Reduce or stop military assistance,7,0,0
Appeal for humanitarian aid,7,0,0
Impose state of emergency or martial law,7,0,0
Grant asylum,6,0,0
Ban political parties or politicians,6,0,0
Seize or damage property,6,0,0
Appeal to yield,6,0,0
Express intent to change leadership,6,0,0
"Threaten with political dissent, protest",5,0,0
Accuse of aggression,5,0,0
Demand settling of dispute,5,0,0
Demand release of persons or property,5,0,0
Threaten with repression,5,0,0
"Express intent to ease economic sanctions, boycott, or embargo",4,0,0
Demand easing of administrative sanctions,4,0,0
Refuse to de-escalate military engagement,4,0,0
"Refuse to ease economic sanctions, boycott, or embargo",4,0,0
Ease curfew,4,0,0
"Threaten with sanctions, boycott, embargo",4,0,0
Express intent to cooperate on intelligence,4,4,1
Threaten to reduce or break relations,4,0,0
Expel or withdraw peacekeepers,4,0,0
Accede to demands for rights,3,0,0
Appeal for political reform,3,0,0
Violate ceasefire,3,0,0
Threaten to reduce or stop aid,3,0,0
Express intent to provide military protection or peacekeeping,3,0,0
"Accede to demands for change in institutions, regime",3,0,0
Reduce or stop material aid,3,0,0
Reduce or stop humanitarian assistance,3,0,0
Investigate human rights abuses,3,0,0
Destroy property,3,0,0
Demonstrate for policy change,3,0,0
Demand judicial cooperation,3,0,0
Demobilize armed forces,3,0,0
Demand mediation,3,0,0
Engage in political dissent,2,0,0
Conduct hunger strike,2,0,0
Ease military blockade,2,0,0
Veto,2,0,0
Accede to demands for change in policy,2,0,0
Demand rights,2,0,0
Demand political reform,2,0,0
Demand policy change,2,0,0
Forgive,2,0,0
Accede to requests or demands for political reform,2,0,0
Reject military cooperation,2,0,0
Express intent to change policy,2,0,0
Reject material cooperation,2,0,0
Reject economic cooperation,2,0,0
"Use chemical, biological, or radiological weapons",1,0,0
Ease political dissent,1,0,0
Halt mediation,1,0,0
Express intent to cooperate on judicial matters,1,0,0
Use as human shield,1,0,0
Ease state of emergency or martial law,1,0,0
Threaten with administrative sanctions,1,0,0
Expel or withdraw,1,0,0
Engage in violent protest for rights,1,0,0
Engage in mass expulsion,1,0,0
Detonate nuclear weapons,1,0,0
Appeal for military protection or peacekeeping,1,0,0
Demand humanitarian aid,1,0,0
Appeal for target to allow international involvement (non-mediation),1,0,0
"Appeal for easing of economic sanctions, boycott, or embargo",1,0,0
Carry out roadside bombing,1,0,0
"Express intent to change institutions, regime",1,0,0
Threaten to halt negotiations,1,0,0
Threaten to halt mediation,1,0,0
Obstruct passage to demand leadership change,1,0,0
Investigate war crimes,1,0,0
Demand military aid,1,0,0
Express intent to institute political reform,1,0,0
Reject judicial cooperation,1,0,0
Demand material aid,1,0,0
Carry out car bombing,1,0,0
Reject request for military protection or peacekeeping,1,0,0
Reject request for military aid,1,0,0
Reject request for change in leadership,1,0,0
Receive inspectors,1,0,0
