head,relation,tail,time
Government (Burundi),Praise or endorse,UN Security Council,2014-04-10
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-03-14
John Kerry,Make a visit,Angola,2014-05-04
Police (Israel),Investigate,Criminal (Israel),2014-04-24
Ertharin Cousin,Make a visit,Iran,2014-01-22
Chuck Hagel,Consult,Chang Wanquan,2014-04-11
Police (Tanzania),Accuse,Criminal (Tanzania),2014-10-14
Barack Obama,Make a visit,South Korea,2014-02-18
Ministry (South Africa),Praise or endorse,Government (South Africa),2014-11-17
Iraq,Host a visit,John Kerry,2014-06-23
Media (India),Consult,Member of Parliament (India),2014-01-10
Frank Bainimarama,Make a visit,New Zealand,2014-08-21
Murtala Nyako,Accuse,Government (Nigeria),2014-10-13
Government (Pakistan),Threaten,Imran Khan,2014-08-08
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-01-27
Citizen (Nigeria),Make empathetic comment,Government (Nigeria),2014-04-15
Citizen (United Kingdom),Bring lawsuit against,Shrien Dewani,2014-12-11
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-11-19
Boko Haram,Make pessimistic comment,Citizen (Nigeria),2014-05-22
Tzipi Livni,Consult,Martin Indyk,2014-04-08
Government (Nigeria),Make statement,Ogbeni Rauf Aregbesola,2014-07-29
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-02-19
China,Consult,Japan,2014-12-28
South Korea,Make an appeal or request,North Korea,2014-12-22
Sergey Viktorovich Lavrov,Consult,Sergey Kuzhugetovich Shoygu,2014-03-13
Extremist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-05-10
Tahirul Qadri,"Protest violently, riot",Government (Pakistan),2014-08-09
Military Personnel (Philippines),Make statement,Military (Philippines),2014-11-18
Police (Australia),Accuse,Citizen (Australia),2014-06-03
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Secretariat (Nigeria),Accuse,Citizen (Nigeria),2014-10-30
Kim Jong-Un,Accuse,South Korea,2014-04-08
Armed Gang (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-11-29
Canada,Make an appeal or request,Foreign Affairs (Russia),2014-04-09
Citizen (Nigeria),Reduce or break diplomatic relations,Murtala Nyako,2014-07-11
Haider Al-Abadi,Consult,Iran,2014-10-24
Aladdin Boroujerdi,Make statement,Iran,2014-11-11
South Korea,Make an appeal or request,North Korea,2014-10-12
Barack Obama,Demand,Iran,2014-07-17
Afghanistan,Engage in diplomatic cooperation,Iran,2014-04-23
Algirdas Butkevičius,Make optimistic comment,Citizen (Lithuania),2014-05-11
Police (Israel),Impose administrative sanctions,"Women (Palestinian Territory, Occupied)",2014-08-15
Military (Thailand),Torture,Activist (Thailand),2014-08-09
Government (Kenya),Refuse to yield,Citizen (Kenya),2014-10-10
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-10-15
Federica Mogherini,Make a visit,Poland,2014-11-06
Commando (India),Express intent to meet or negotiate,Citizen (India),2014-10-15
Imran Khan,Make statement,Tahirul Qadri,2014-09-22
France,Consult,Canada,2014-10-23
Victor Ponta,Engage in negotiation,Klaus Johannis,2014-11-11
Police (Australia),Demand,Citizen (Australia),2014-05-27
Mohammad Javad Zarif,Make statement,Iran,2014-03-10
Police (Indonesia),"Abduct, hijack, or take hostage",Citizen (Indonesia),2014-04-01
Eugene Wamalwa,Appeal for change in leadership,Citizen (Kenya),2014-08-27
Benjamin Netanyahu,Cooperate militarily,Police (Israel),2014-11-09
Rights Activist (China),Make statement,China,2014-05-16
Julius Malema,Mobilize or increase armed forces,South Africa,2014-09-24
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-18
Court Judge (Namibia),Demand,Citizen (Namibia),2014-06-02
North Korea,Host a visit,Kim Jong-Un,2014-06-02
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-02
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-07-25
Armed Gang (Libya),Use unconventional violence,Military (Lebanon),2014-03-27
Barack Obama,Express intent to meet or negotiate,Pope Francis,2014-01-24
China,Praise or endorse,Iraq,2014-02-23
Citizen (Australia),fight with small arms and light weapons,Police (Australia),2014-11-26
Citizen (South Korea),Ease administrative sanctions,South Korea,2014-07-01
Angela Merkel,Appeal for political reform,France,2014-12-11
Japan,Engage in negotiation,North Korea,2014-03-05
Police (Kenya),Impose administrative sanctions,Citizen (Kenya),2014-05-29
Jens Stoltenberg,Host a visit,Ashraf Ghani Ahmadzai,2014-11-06
Raúl Castro,Consult,Barack Obama,2014-12-18
John Kerry,Make statement,Haider Al-Abadi,2014-09-10
Angela Merkel,Express intent to cooperate,Barack Obama,2014-08-29
Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras,2014-11-19
Nationalist Movement Party,Use conventional military force,Citizen (Turkey),2014-06-18
Police (Australia),Make an appeal or request,Citizen (Australia),2014-07-13
Xi Jinping,Make statement,Military (China),2014-08-31
Hamas,Make statement,Benjamin Netanyahu,2014-08-02
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-01-28
Gazprom,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-17
John Kerry,Praise or endorse,Japan,2014-07-29
Pakistan Tehreek-e-Insaf,Express intent to meet or negotiate,Government (Pakistan),2014-09-03
Somali National Army,Use conventional military force,Al-Shabaab,2014-10-31
China,Engage in diplomatic cooperation,Myanmar,2014-03-14
Xi Jinping,Consult,Yasuo Fukuda,2014-08-04
Foreign Affairs (Syria),Meet at a 'third' location,Iraq,2014-12-09
Uganda People's Defence Force,"Arrest, detain, or charge with legal action",Al-Shabaab,2014-05-29
North Atlantic Treaty Organization,Consult,John Kerry,2014-12-02
Anupong Paochinda,Make an appeal or request,Governor (Thailand),2014-11-24
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-24
Royal Administration (Saudi Arabia),Make a visit,France,2014-08-31
Vietnam,Engage in diplomatic cooperation,Thailand,2014-11-05
Angela Merkel,Discuss by telephone,François Hollande,2014-06-21
Jean-Yves Le Drian,Express intent to meet or negotiate,France,2014-05-19
Afghanistan,Host a visit,Ashraf Ghani Ahmadzai,2014-12-16
Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2014-09-29
Sergey Viktorovich Lavrov,Consult,Børge Brende,2014-10-25
Citizen (India),Appeal for diplomatic cooperation (such as policy support),Employee (India),2014-10-27
Other Authorities / Officials (China),Impose restrictions on political freedoms,China,2014-02-16
Kuwait,Meet at a 'third' location,Oman,2014-12-10
Citizen (United Kingdom),Use unconventional violence,Iraq,2014-10-03
Guatemala,Express intent to cooperate,Mexico,2014-09-09
Barack Obama,Consult,Benjamin Netanyahu,2014-03-02
Naoki Inose,Reduce relations,Japan,2014-03-28
Foreign Affairs (Russia),Make an appeal or request,Canada,2014-05-30
China,Criticize or denounce,Kim Jong-Un,2014-06-30
Police (Australia),Accuse,Citizen (Australia),2014-10-12
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif,2014-07-11
Mehmet Simsek,Host a visit,Abdullah bin Nasser bin Khalifa Al-Thani,2014-04-30
Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong),2014-12-03
Citizen (Thailand),Use unconventional violence,Protester (Thailand),2014-02-01
China,Sign formal agreement,Abdel Fattah Al-Sisi,2014-12-24
Mohammad Javad Zarif,Make statement,Iran,2014-09-29
South Africa,Ease administrative sanctions,Julius Malema,2014-02-28
Iran,Sign formal agreement,Iraq,2014-05-19
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-12
Barack Obama,Express intent to meet or negotiate,Mexico,2014-02-19
China,Consult,Japan,2014-10-27
Member of the Judiciary (South Africa),Make statement,South Africa,2014-08-07
France,Praise or endorse,Military (Lebanon),2014-11-04
Combatant (Al-Shabaab),Use unconventional violence,Somali National Army,2014-04-09
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-01-13
Citizen (India),Threaten,Employee (India),2014-07-02
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-02-24
Alex Salmond,Make an appeal or request,Citizen (United Kingdom),2014-04-12
Cabinet / Council of Ministers / Advisors (United States),Sign formal agreement,Benjamin Netanyahu,2014-01-01
Abdullah Gül,Engage in diplomatic cooperation,Kuwait,2014-03-31
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-07-03
Xi Jinping,Consult,Barack Obama,2014-07-15
China,Make optimistic comment,Thailand,2014-07-11
Japan,Make a visit,North Korea,2014-09-15
Ashraf Ghani Ahmadzai,Accuse,Abdullah Abdullah,2014-07-03
Yulia Tymoshenko,Make an appeal or request,Elmar Brok,2014-04-18
Xi Jinping,Consult,Head of Government (China),2014-11-10
Malaysia,Provide humanitarian aid,Citizen (Malaysia),2014-11-06
Adama Dieng,Make a visit,Burundi,2014-04-13
China,Express intent to meet or negotiate,South Korea,2014-02-20
Police (Australia),Use conventional military force,Citizen (Australia),2014-05-14
Government (Nigeria),Make statement,Medical Personnel (Nigeria),2014-08-06
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-07-20
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-02-21
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-06-26
Canada,Express intent to engage in diplomatic cooperation (such as policy support),Business (Canada),2014-09-16
Viktor Orban,Make an appeal or request,Citizen (Hungary),2014-03-15
Head of Government (Nigeria),Praise or endorse,Government (Nigeria),2014-03-17
North Korea,Engage in negotiation,Japan,2014-03-31
Sharad Pawar,Make an appeal or request,Citizen (India),2014-05-01
Israeli Defense Forces,"Arrest, detain, or charge with legal action",Children (Israel),2014-05-19
Head of Government (India),Make an appeal or request,Citizen (India),2014-12-29
Nuri al-Maliki,Make statement,Iraq,2014-01-13
Men (India),Use unconventional violence,Women (Denmark),2014-01-15
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-09-29
International Monetary Fund,Provide humanitarian aid,Portugal,2014-05-16
Civic Group (Afghanistan),Make statement,Election Commission (Afghanistan),2014-02-14
Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2014-07-02
Abdel Fattah Al-Sisi,Host a visit,Congress (United States),2014-01-20
Foreign Affairs (United States),Express intent to meet or negotiate,United Arab Emirates,2014-02-09
United Arab Emirates,Engage in diplomatic cooperation,Qatar,2014-11-18
Behrouz Kamalvandi,Make optimistic comment,Iran,2014-10-06
Xi Jinping,Consult,Barack Obama,2014-03-11
Kathleen Wynne,Make a visit,Canada,2014-05-20
Military (Turkey),Use tactics of violent repression,Protester (Turkey),2014-06-04
Military (South Sudan),Occupy territory,South Sudan,2014-01-21
North Korea,"Return, release person(s)",Jeffrey Fowle,2014-10-23
Imran Khan,Consult,Tahirul Qadri,2014-08-29
Victor Ponta,Make statement,Romania,2014-10-12
Citizen (Thailand),Demand humanitarian aid,Military (Thailand),2014-12-06
John Kerry,Make a visit,South Korea,2014-05-26
South Korea,Express intent to cooperate,China,2014-04-12
Police (Cote d'Ivoire),Reject,Citizen (Cote d'Ivoire),2014-09-11
William Ruto,Threaten non-force,Citizen (Kenya),2014-10-27
Legislature (Pakistan),Reject,Tahirul Qadri,2014-08-21
Jens Stoltenberg,Consult,Mevlut Cavusoglu,2014-10-10
Government (Pakistan),Consult,Tehrik-i-Taliban Pakistan,2014-04-24
Barack Obama,Express intent to cooperate economically,Vietnam,2014-02-24
Barack Obama,Express intent to cooperate,Angela Merkel,2014-03-08
France,Sign formal agreement,Iran,2014-03-03
Protester (Thailand),Impose restrictions on political freedoms,Thailand,2014-01-26
Armenia,Host a visit,Seyran Ohanyan,2014-12-11
Foreign Affairs (United States),Sign formal agreement,Julie Bishop,2014-08-26
Armed Gang (Afghanistan),"Conduct suicide, car, or other non-military bombing",Afghanistan,2014-12-18
Umar al Bashir,Consult,Abdel Fattah Al-Sisi,2014-10-19
Raheel Sharif,Make a visit,Afghanistan,2014-12-18
Military Personnel (Yemen),Praise or endorse,Governor (Yemen),2014-04-12
Citizen (Yemen),Accuse,Armed Rebel (Yemen),2014-02-06
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-05-12
China,Consult,Malaysia,2014-05-06
Barack Obama,Make a visit,Malaysia,2014-04-25
Iraq,"Arrest, detain, or charge with legal action",Militant (Iraq),2014-05-06
Ministry (Nigeria),Make statement,Media (Africa),2014-06-26
Police (Kenya),"Return, release person(s)",Men (Kenya),2014-11-11
Villager (India),Criticize or denounce,Citizen (India),2014-03-14
France,Sign formal agreement,China,2014-04-29
Myanmar,Host a visit,Association of Southeast Asian Nations,2014-11-15
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-06-17
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-09-17
Fumio Kishida,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014-08-09
Japan,Make a visit,China,2014-05-29
Oman,Consult,Kuwait,2014-07-11
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-04-04
Ministry (Croatia),Make an appeal or request,Veterans (Croatia),2014-12-19
Iran,Praise or endorse,Hamas,2014-08-09
Government Official (Thailand),Make statement,Thailand,2014-03-06
North Korea,fight with small arms and light weapons,South Korea,2014-07-14
Ministry (Nigeria),"Demand meeting, negotiation",Citizen (Nigeria),2014-03-21
Antonis Samaras,Consult,Dimitrios Avramopoulos,2014-07-14
Citizen (Greece),Criticize or denounce,Alexis Tsipras,2014-09-17
Police (Israel),Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)",2014-10-30
Ashraf Ghani Ahmadzai,Consult,Mamnoon Hussain,2014-11-15
Court Judge (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2014-07-05
Cabinet / Council of Ministers / Advisors (Angola),Make statement,Angola,2014-06-17
Umar al Bashir,Make statement,Sudan,2014-04-02
Mauricio Domogan,Make statement,Philippines,2014-08-15
Barack Obama,Discuss by telephone,Mexico,2014-06-20
Ministry (Nigeria),Make statement,Government (Nigeria),2014-04-14
Citizen (Kenya),Accuse,Government (Kenya),2014-11-24
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-02-04
Police (Kenya),Reject,Citizen (Kenya),2014-02-11
France,Criticize or denounce,François Hollande,2014-01-06
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-13
Farm Worker (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-27
Angela Merkel,Demand,Yulia Tymoshenko,2014-02-23
Boko Haram,Use conventional military force,Military Personnel - Special (Nigeria),2014-05-28
China,Express intent to provide material aid,Sierra Leone,2014-09-29
North Korea,Deny responsibility,South Korea,2014-04-25
Thief (India),fight with small arms and light weapons,Citizen (India),2014-06-15
Governor (Kenya),Make statement,Government (Kenya),2014-03-17
Lawyer/Attorney (Turkey),Make an appeal or request,Other Authorities / Officials (Turkey),2014-12-12
Chuck Hagel,Make statement,Iraq,2014-11-14
Chibuike Rotimi Amaechi,Make an appeal or request,Citizen (Nigeria),2014-06-30
Militant (Iraq),Occupy territory,Iraq,2014-08-15
Foreign Affairs (Russia),Host a visit,Foreign Affairs (United States),2014-09-08
North Korea,Reject,Japan,2014-06-04
Caroline Kennedy,Appeal for diplomatic cooperation (such as policy support),Japan,2014-03-07
Party Member (Iraq),Make statement,National Alliance (Iraq),2014-07-25
Tajikistan,Host a visit,Xi Jinping,2014-09-12
Citizen (Brazil),Criticize or denounce,Gilberto Kassab,2014-06-05
Qatar,Host a visit,Head of Government (Gambia),2014-11-19
Mohammad Javad Zarif,Make statement,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Iran,"Express intent to change institutions, regime",Iraq,2014-08-06
Legislature (Romania),Praise or endorse,Victor Ponta,2014-12-15
Military (Lebanon),Use conventional military force,Militant (Syria),2014-08-04
Government (Nigeria),Accuse,Chibuike Rotimi Amaechi,2014-01-09
Klaus Johannis,Consult,Victor Ponta,2014-12-29
China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-05-30
Cabinet / Council of Ministers / Advisors (United States),Consult,Foreign Affairs (Russia),2014-03-15
Xi Jinping,Praise or endorse,Barack Obama,2014-11-04
Police (Malaysia),Make statement,Malaysia,2014-01-25
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014-08-03
Iran,Make a visit,Ireland,2014-09-21
New Zealand,Host a visit,Xi Jinping,2014-11-10
China,Express intent to engage in diplomatic cooperation (such as policy support),Portugal,2014-05-15
Massoud Barzani,Consult,Legislature (Iraq),2014-07-04
South Korea,Express intent to cooperate,Japan,2014-10-11
Criminal (Brazil),"Return, release person(s)",Citizen (Brazil),2014-05-18
Abdel Fattah Al-Sisi,Make a visit,France,2014-11-22
Citizen (Thailand),Criticize or denounce,Thief (Thailand),2014-06-27
Bismillah Khan Mohammadi,Make statement,Afghanistan,2014-10-04
China,Host a visit,Abdel Fattah Al-Sisi,2014-12-20
China,Make optimistic comment,Iran,2014-05-20
Member of the Judiciary (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-09-29
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,Abdullah Abdullah,2014-07-14
Imran Khan,Threaten,Government (Pakistan),2014-08-17
Martin Lidegaard,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-09-01
Foreign Affairs (South Korea),Appeal for judicial cooperation,Foreign Affairs (United States),2014-06-02
Vitali Klitschko,Make statement,Protester (Ukraine),2014-01-25
China,Host a visit,Head of Government (Turkmenistan),2014-05-11
Frank Bainimarama,Make statement,Fiji,2014-08-29
Middle East,Consult,John Kerry,2014-06-27
South Korea,Express intent to cooperate,China,2014-07-04
Pedro Manuel Mamede Passos Coelho,Make statement,Portugal,2014-09-09
Frank Bainimarama,Engage in negotiation,Julie Bishop,2014-11-02
Raj Thackeray,Make an appeal or request,Citizen (India),2014-03-05
Protester (Hong Kong),Demonstrate or rally,Other Authorities / Officials (Hong Kong),2014-11-28
Nurse (United States),Make a visit,Sierra Leone,2014-10-28
Police (Sudan),fight with small arms and light weapons,Citizen (Sudan),2014-01-16
Head of Government (Ukraine),Consult,Angela Merkel,2014-10-17
Japan,Sign formal agreement,China,2014-11-09
Liyel Imoke,Praise or endorse,Citizen (Nigeria),2014-01-23
Haider Al-Abadi,Praise or endorse,Iran,2014-12-03
Police (Ukraine),Make statement,Arseniy Yatsenyuk,2014-10-31
Abdullah Abdullah,Make statement,Afghanistan,2014-11-21
Citizen (Thailand),Criticize or denounce,Protester (Thailand),2014-01-22
Sergey Viktorovich Lavrov,Consult,Paolo Gentiloni,2014-12-04
Catherine Ashton,Make a visit,South Korea,2014-02-25
Ministry (South Africa),Make statement,South Africa,2014-09-09
Rafael Ramírez,Express intent to meet or negotiate,Pedro Joaquin Coldwell,2014-11-07
Bangladesh Nationalist Party,Make statement,Awami (People's) League,2014-02-02
France,"Arrest, detain, or charge with legal action",Men (France),2014-03-28
Iran,Host a visit,Nuri al-Maliki,2014-11-11
Abdullah Gül,Make optimistic comment,China,2014-07-11
Iran,Consult,Oman,2014-08-11
Catherine Ashton,Meet at a 'third' location,John Kerry,2014-11-09
Military (Mozambique),Use conventional military force,Armed Gang (RENAMO),2014-05-18
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-04
Court Judge (Nigeria),Demand,Government (Nigeria),2014-04-07
Governor (India),Praise or endorse,Tarun Gogoi,2014-07-23
Jitan Ram Manjhi,Make an appeal or request,Citizen (India),2014-11-25
Poland,Reduce relations,Foreign Affairs (Belarus),2014-03-14
Citizen (Thailand),Use unconventional violence,Thailand,2014-07-03
Coalition of the Radical Left,Accuse,Panhellenic Socialist Movement,2014-05-07
Militant (Nigeria),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-04-16
María Ángela Holguín,Host a visit,John Kerry,2014-02-28
Xi Jinping,Make statement,China,2014-05-21
Rioter (India),Use unconventional violence,Citizen (India),2014-10-31
Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia),2014-06-29
China,Criticize or denounce,Philippines,2014-02-28
Madagascar,Express intent to meet or negotiate,International Monetary Fund,2014-03-14
Armed Gang (Egypt),Use unconventional violence,Police (Egypt),2014-01-31
Evangelos Venizelos,Make an appeal or request,Citizen (Greece),2014-05-18
Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2014-12-08
Abdullah Abdullah,Consult,John Kerry,2014-08-08
Extremist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-04-17
Sergey Viktorovich Lavrov,Make a visit,Ethiopia,2014-09-01
Central Intelligence Agency,"Arrest, detain, or charge with legal action",Citizen (India),2014-01-18
Thailand,Expel or deport individuals,Immigrants (Cambodia),2014-06-15
Angela Merkel,Praise or endorse,Head of Government (Qatar),2014-09-17
