head,relation,tail,time
North Atlantic Treaty Organization,Consult,John Kerry,2014-12-02
Sabah Khaled Al-Hamad Al-Sabah,Consult,Abdel Fattah Al-Sisi,2014-02-24
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-24
Vietnam,Engage in diplomatic cooperation,Thailand,2014-11-05
Federica Mogherini,Consult,Ministry (Belgium),2014-11-17
Angela Merkel,Discuss by telephone,François Hollande,2014-06-21
Al Wefaq National Islamic Society,Consult,Foreign Affairs (United States),2014-07-15
Prayuth Chan-ocha,Consult,Prajin Jantong,2014-01-24
Philippines,Engage in diplomatic cooperation,New Zealand,2014-08-08
Sergey Viktorovich Lavrov,Consult,Børge Brende,2014-10-25
Citizen (India),Appeal for diplomatic cooperation (such as policy support),Employee (India),2014-10-27
Kuwait,Meet at a 'third' location,Oman,2014-12-10
Guatemala,Express intent to cooperate,Mexico,2014-09-09
Barack Obama,Consult,Benjamin Netanyahu,2014-03-02
Refugee (India),Consult,Governor (India),2014-08-24
Foreign Affairs (Russia),Make an appeal or request,Canada,2014-05-30
Police (Australia),Accuse,Citizen (Australia),2014-10-12
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif,2014-07-11
Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong),2014-12-03
China,Sign formal agreement,Abdel Fattah Al-Sisi,2014-12-24
Mohammad Javad Zarif,Make statement,Iran,2014-09-29
Iran,Sign formal agreement,Iraq,2014-05-19
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-12
China,Consult,Japan,2014-10-27
Citizen (India),Threaten,Employee (India),2014-07-02
Cabinet / Council of Ministers / Advisors (United States),Sign formal agreement,Benjamin Netanyahu,2014-01-01
Shimon Peres,Consult,Tony Blair,2014-08-01
Xi Jinping,Consult,Barack Obama,2014-07-15
Ashraf Ghani Ahmadzai,Accuse,Abdullah Abdullah,2014-07-03
Xi Jinping,Consult,Head of Government (China),2014-11-10
China,Express intent to meet or negotiate,South Korea,2014-02-20
Party President (Congress Party),Consult,Employee (India),2014-01-19
Government (Nigeria),Make statement,Medical Personnel (Nigeria),2014-08-06
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-06-26
Viktor Orban,Make an appeal or request,Citizen (Hungary),2014-03-15
North Korea,Engage in negotiation,Japan,2014-03-31
Head of Government (India),Make an appeal or request,Citizen (India),2014-12-29
Nuri al-Maliki,Make statement,Iraq,2014-01-13
Xi Jinping,Consult,Barack Obama,2014-03-11
Foreign Affairs (Israel),Consult,Benjamin Netanyahu,2014-07-22
Imran Khan,Consult,Tahirul Qadri,2014-08-29
Victor Ponta,Make statement,Romania,2014-10-12
South Korea,Express intent to cooperate,China,2014-04-12
Jens Stoltenberg,Consult,Mevlut Cavusoglu,2014-10-10
Government (Pakistan),Consult,Tehrik-i-Taliban Pakistan,2014-04-24
Other Authorities / Officials (Mexico),Make statement,Criminal (Mexico),2014-10-14
Barack Obama,Express intent to cooperate,Angela Merkel,2014-03-08
France,Sign formal agreement,Iran,2014-03-03
Foreign Affairs (United States),Sign formal agreement,Julie Bishop,2014-08-26
Protester (Hong Kong),Consult,Agence France-Presse,2014-10-18
Umar al Bashir,Consult,Abdel Fattah Al-Sisi,2014-10-19
Abdullah Gül,Consult,Industry (Turkey),2014-04-21
High Ranking Military Personnel (Malaysia),Consult,Police (Malaysia),2014-02-14
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-05-12
China,Consult,Malaysia,2014-05-06
Aleksandre Chikaidze,Consult,Gideon Sa'ar,2014-04-24
Villager (India),Criticize or denounce,Citizen (India),2014-03-14
Foreign Affairs (Argentina),Consult,Foreign Affairs (United States),2014-09-19
France,Sign formal agreement,China,2014-04-29
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
Treasury/Finance Ministry (Kyrgyzstan),Sign formal agreement,Sergei Anatolievich Storchak,2014-11-24
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-06-17
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-09-17
Fumio Kishida,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014-08-09
Japan,Make a visit,China,2014-05-29
Iran,Praise or endorse,Hamas,2014-08-09
North Korea,fight with small arms and light weapons,South Korea,2014-07-14
Antonis Samaras,Consult,Dimitrios Avramopoulos,2014-07-14
Ashraf Ghani Ahmadzai,Consult,Mamnoon Hussain,2014-11-15
Umar al Bashir,Make statement,Sudan,2014-04-02
Barack Obama,Discuss by telephone,Mexico,2014-06-20
Citizen (Kenya),Accuse,Government (Kenya),2014-11-24
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-02-04
Amr Mohammed Moussa,Consult,Abdel Fattah Al-Sisi,2014-02-12
Military (Niger),Cooperate militarily,France,2014-04-21
France,Criticize or denounce,François Hollande,2014-01-06
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-13
Farm Worker (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-27
Dmitry Anatolyevich Medvedev,Consult,Djoomart Otorbaev,2014-12-01
Boko Haram,Use conventional military force,Military Personnel - Special (Nigeria),2014-05-28
Thief (India),fight with small arms and light weapons,Citizen (India),2014-06-15
Chibuike Rotimi Amaechi,Make an appeal or request,Citizen (Nigeria),2014-06-30
Legislature (Romania),Praise or endorse,Victor Ponta,2014-12-15
Government (Nigeria),Accuse,Chibuike Rotimi Amaechi,2014-01-09
China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-05-30
Cabinet / Council of Ministers / Advisors (United States),Consult,Foreign Affairs (Russia),2014-03-15
Defense / Security Ministry (Azerbaijan),Consult,Media (Azerbaijan),2014-08-19
Envoy (United States),Consult,Riek Machar,2014-01-12
Bratislav Gasic,Consult,Defense / Security Ministry (Cyprus),2014-08-25
Xi Jinping,Praise or endorse,Barack Obama,2014-11-04
Police (Malaysia),Make statement,Malaysia,2014-01-25
Iran,Make a visit,Ireland,2014-09-21
Iurie Leanca,Consult,Carlos Pascual,2014-03-24
Bratislav Gasic,Consult,Foreign Affairs (Russia),2014-05-19
Massoud Barzani,Consult,Legislature (Iraq),2014-07-04
South Korea,Express intent to cooperate,Japan,2014-10-11
Vesna Pusić,Discuss by telephone,Simonetta Sommaruga,2014-02-16
China,Make optimistic comment,Iran,2014-05-20
Zaheerul Islam,Consult,John Brennan,2014-02-25
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,Abdullah Abdullah,2014-07-14
Imran Khan,Threaten,Government (Pakistan),2014-08-17
Vesna Pusić,Engage in negotiation,Miroslav Lajcak,2014-07-11
Frank Bainimarama,Make statement,Fiji,2014-08-29
Middle East,Consult,John Kerry,2014-06-27
South Korea,Express intent to cooperate,China,2014-07-04
Frank Bainimarama,Engage in negotiation,Julie Bishop,2014-11-02
Head of Government (Ukraine),Consult,Angela Merkel,2014-10-17
Media (Africa),Consult,Bathabile Dlamini,2014-09-12
Japan,Sign formal agreement,China,2014-11-09
Haider Al-Abadi,Praise or endorse,Iran,2014-12-03
Police (Ukraine),Make statement,Arseniy Yatsenyuk,2014-10-31
Abdullah Abdullah,Make statement,Afghanistan,2014-11-21
Foreign Affairs (Argentina),Consult,Cristina Fernández de Kirchner,2014-02-27
Sergey Viktorovich Lavrov,Consult,Paolo Gentiloni,2014-12-04
Bangladesh Nationalist Party,Make statement,Awami (People's) League,2014-02-02
Iran,Consult,Oman,2014-08-11
Catherine Ashton,Meet at a 'third' location,John Kerry,2014-11-09
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-04
Foreign Affairs (Libya),Consult,Abdelkader Messahel,2014-11-01
Coalition of the Radical Left,Accuse,Panhellenic Socialist Movement,2014-05-07
Yalcin Akdogan,Consult,Legislature (Turkey),2014-12-23
Xi Jinping,Make statement,China,2014-05-21
China,Criticize or denounce,Philippines,2014-02-28
Abdullah Abdullah,Consult,John Kerry,2014-08-08
Chuck Hagel,Consult,Sergey Viktorovich Lavrov,2014-10-17
Academic Staff Union of Universities,Sign formal agreement,Government (Nigeria),2014-04-11
Foreign Affairs (Latvia),Make statement,Edgars Rinkevics,2014-02-20
Massoud Barzani,Consult,François Hollande,2014-08-09
City Mayor (Philippines),Make statement,Philippines,2014-08-03
Boko Haram,Use unconventional violence,Citizen (Nigeria),2014-09-16
Citizen (India),Make an appeal or request,Oommen Chandy,2014-09-06
Barack Obama,Consult,Xi Jinping,2014-06-10
John Kerry,Consult,Benjamin Netanyahu,2014-12-12
John Kerry,Express intent to meet or negotiate,Federica Mogherini,2014-12-03
Vietnam,Criticize or denounce,China,2014-05-22
Main Opposition (Greece),Criticize or denounce,Antonis Samaras,2014-04-15
Police (Australia),Criticize or denounce,Citizen (Australia),2014-12-01
Armed Rebel (Ukraine),Sign formal agreement,Malaysia,2014-07-30
Legislature (Italy),Express intent to engage in diplomatic cooperation (such as policy support),Angola,2014-11-21
Israeli Defense Forces,Make statement,Hamas,2014-08-03
Media Personnel (Angola),Consult,Manuel Augusto,2014-08-19
Head of Government (Peru),Consult,Xi Jinping,2014-11-20
Member of Parliament (India),Accuse,Citizen (India),2014-09-15
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-10-14
Sheikh Hasina Wajed,Consult,Xi Jinping,2014-06-10
China,Engage in diplomatic cooperation,Japan,2014-05-09
Jakaya Mrisho Kikwete,Consult,William Ruto,2014-01-24
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-23
Benjamin Netanyahu,Discuss by telephone,John Kerry,2014-03-27
South Korea,Criticize or denounce,North Korea,2014-07-03
François Hollande,Host a visit,Angela Merkel,2014-05-11
Citizen (India),Appeal for diplomatic cooperation (such as policy support),Employee (India),2014-01-21
Iraq,Make statement,National Alliance (Iraq),2014-06-07
Militant (Mali),fight with small arms and light weapons,Military (Mali),2014-05-21
Public Works (India),Engage in negotiation,Ramalinga Reddy,2014-01-10
Citizen (Kenya),Consult,Alfred Mutua,2014-11-05
Citizen (India),Criticize or denounce,Head of Government (India),2014-10-22
Afghanistan,Make statement,Abdullah Abdullah,2014-09-30
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-04-16
Police (Australia),fight with small arms and light weapons,Citizen (Australia),2014-02-14
Alexander Grushko,Discuss by telephone,Interfax,2014-12-23
South Sudan,Accuse,Government (Sudan),2014-03-06
Police (Philippines),Make statement,Criminal (Philippines),2014-01-16
Iran,Make statement,Mohammad Javad Zarif,2014-05-11
Governor (Kenya),Consult,Media (Africa),2014-04-22
Qatar,Engage in diplomatic cooperation,Iran,2014-06-01
Citizen (Nigeria),Make an appeal or request,Assemblies (Nigeria),2014-05-15
Head of Government (Nigeria),Criticize or denounce,Citizen (Nigeria),2014-12-03
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-10-20
Thailand,Engage in symbolic act,Citizen (Thailand),2014-12-26
John Kerry,Engage in negotiation,John Baird,2014-01-17
Benjamin Netanyahu,Consult,Joseph Robinette Biden,2014-03-05
China,Host a visit,Chuck Hagel,2014-04-09
Malaysia,Praise or endorse,Thailand,2014-06-05
Antonis Samaras,Consult,Angela Merkel,2014-09-24
Shimon Peres,Consult,Xi Jinping,2014-04-09
Julie Bishop,Consult,Kevin Rudd,2014-11-23
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-16
Iran,Engage in diplomatic cooperation,Oman,2014-12-03
Evangelos Venizelos,Consult,Dimitrios Avramopoulos,2014-09-04
Medical Personnel (India),Consult,Medical Association (India),2014-03-03
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-03-08
Paul Kagame,Consult,Anders Borg,2014-02-27
Vietnam,Make statement,China,2014-06-11
Congress (Nigeria),Accuse,Citizen (Nigeria),2014-04-28
China,Sign formal agreement,Japan,2014-11-10
Military Personnel (Kenya),Make statement,Police (Kenya),2014-11-05
John Kerry,Make statement,North Korea,2014-02-14
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Børge Brende,2014-01-20
Bureaucrat (India),Consult,Anandiben Patel,2014-10-27
Niger,Express intent to meet or negotiate,UN Security Council,2014-04-22
China,Express intent to cooperate,Japan,2014-09-11
John Kerry,Engage in negotiation,Abdel Fattah Al-Sisi,2014-06-22
Canada,Express intent to cooperate,Japan,2014-11-09
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-07-30
Civic Group (Taiwan),Consult,Tsai Ing-wen,2014-04-17
United Arab Emirates,Sign formal agreement,Japan,2014-11-10
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-08
Police (Philippines),Make statement,Military (Philippines),2014-07-29
Ministry (Sudan),Sign formal agreement,Treasury/Finance Ministry (Sudan),2014-09-08
François Hollande,Consult,Angela Merkel,2014-10-17
Abdullah Gül,Consult,People Associated with the Opposition (Turkey),2014-01-16
Jean Qahwaji,Consult,Nabih Berri,2014-06-20
Pavlo Klimkin,Consult,Sergey Viktorovich Lavrov,2014-07-03
City Mayor (United States),Sign formal agreement,Japan,2014-08-30
North Korea,Reject,South Korea,2014-10-30
Citizen (India),Accuse,Akali Leader,2014-06-14
Barack Obama,Make statement,Iran,2014-03-03
Ministry (Nigeria),Make statement,Other Authorities / Officials (Nigeria),2014-11-27
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014-09-08
Japan,Express intent to cooperate,North Korea,2014-05-28
South Korea,Make an appeal or request,China,2014-06-25
Citizen (India),Make an appeal or request,Medical Personnel (India),2014-06-13
Benjamin Netanyahu,Accuse,Hamas,2014-08-07
Thief (India),Physically assault,Citizen (India),2014-09-19
Education Ministry (United Arab Emirates),Engage in diplomatic cooperation,Abu Dhabi Education Council,2014-10-03
Iran,Consult,Catherine Ashton,2014-06-16
China,Express intent to meet or negotiate,Vietnam,2014-06-18
Interim Government (Thailand),Make an appeal or request,Citizen (Thailand),2014-12-24
Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-05-16
Abdullah Abdullah,Express intent to cooperate,Ashraf Ghani Ahmadzai,2014-07-12
China,Express intent to meet or negotiate,South Korea,2014-11-23
Barack Obama,Consult,Benjamin Netanyahu,2014-07-27
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-25
Barack Obama,Consult,North Atlantic Treaty Organization,2014-09-06
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014-11-23
Media Personnel (Argentina),Consult,Justicialist Party,2014-03-21
China,Consult,Malaysia,2014-05-19
North Korea,Express intent to meet or negotiate,South Korea,2014-07-12
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-04-01
Benjamin Netanyahu,Express intent to cooperate,Yair Lapid,2014-09-22
Benjamin Netanyahu,Accuse,Iran,2014-09-21
Andrej Kiska,Consult,Milos Zeman,2014-06-23
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-12-29
Shkelqim Cani,Consult,International Monetary Fund,2014-05-06
Xi Jinping,Express intent to cooperate,Head of Government (South Korea),2014-03-24
Other Authorities / Officials (Mali),Consult,International Government Organizations,2014-07-18
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-07
Willem-Alexander,Consult,Teshome Togo,2014-03-07
Ministry (Angola),Consult,Governor (Angola),2014-11-26
Tajikistan,Consult,Afghanistan,2014-05-08
Citizen (Namibia),Make an appeal or request,Election Commission (Namibia),2014-02-19
Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-03-13
Iraq,Express intent to cooperate,Iran,2014-11-14
Federica Mogherini,Consult,Sergey Viktorovich Lavrov,2014-12-04
Lawyer/Attorney (Colombia),Discuss by telephone,Associated Press,2014-04-23
Citizen (Nigeria),Make optimistic comment,Head of Government (Nigeria),2014-06-16
Salman Khurshid,Consult,John Kerry,2014-01-26
Thief (India),Use unconventional violence,Citizen (India),2014-09-15
Pramod Mahajan,Use conventional military force,Member of Parliament (India),2014-03-14
Head of Government (China),Consult,Xi Jinping,2014-05-31
Pakistan People's Party,Sign formal agreement,Pervez Musharraf,2014-07-14
Tajikistan,Consult,Kazakhstan,2014-07-11
China,Engage in diplomatic cooperation,Cape Verde,2014-01-31
Peter Szijjarto,Discuss by telephone,Sergey Viktorovich Lavrov,2014-12-15
Xi Jinping,Consult,Kim Jong-Un,2014-11-13
Council of States,Consult,Election Commission (India),2014-01-25
Nicos Anastasiades,Consult,Party President (Cyprus),2014-08-25
Benjamin Netanyahu,Make statement,Hamas,2014-08-17
Angela Merkel,Discuss by telephone,Afghanistan,2014-09-23
Yogendra Yadav,Make statement,Aam Aadmi Party,2014-04-25
Bala Abdulkadir Mohammed,Engage in symbolic act,Citizen (Nigeria),2014-06-27
Mohammad Javad Zarif,Consult,Sergey Viktorovich Lavrov,2014-01-20
Catherine Ashton,Meet at a 'third' location,John Kerry,2014-04-07
Head of Government (India),Make an appeal or request,Citizen (India),2014-02-08
Xi Jinping,Make optimistic comment,China,2014-06-08
Barack Obama,Make statement,Xi Jinping,2014-11-13
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-10-29
China,Criticize or denounce,Japan,2014-01-08
South Korea,Express intent to meet or negotiate,North Korea,2014-08-11
Head of Government (India),Express intent to meet or negotiate,Citizen (India),2014-12-14
Head of Government (Nigeria),Make statement,Ministry (Nigeria),2014-02-07
Future Movement,Engage in negotiation,François Hollande,2014-10-07
Hamas,Accuse,Benjamin Netanyahu,2014-07-02
Student (Hong Kong),Consult,Carrie Lam,2014-10-09
China,Consult,Majid Takht Ravanchi,2014-11-21
Xi Jinping,Consult,China,2014-07-15
Japan,Meet at a 'third' location,China,2014-11-16
Israeli Defense Forces,Make statement,Hamas,2014-07-11
Government (United States),Sign formal agreement,Afghanistan,2014-01-25
South Africa,Accuse,Foreign Affairs (Rwanda),2014-03-13
Representatives (Iraq),Consult,Massoud Barzani,2014-05-19
Citizen (India),Make an appeal or request,Employee (India),2014-05-21
Lawmaker (Lebanon),Consult,Legislature (Lebanon),2014-04-24
Citizen (India),Express intent to cooperate,Court Judge (India),2014-02-26
China,Engage in diplomatic cooperation,New Zealand,2014-06-24
Police (Ukraine),Make statement,Protester (Ukraine),2014-02-18
Employee (Kenya),Make statement,Police (Kenya),2014-12-23
China,Criticize or denounce,Japan,2014-03-31
China,Consider policy option,Japan,2014-09-26
Justin Trudeau,Make statement,Liberals (Canada),2014-08-21
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-02-13
Military Personnel (Philippines),Make statement,Police (Philippines),2014-01-29
Chuck Hagel,Consult,Victor Ponta,2014-06-05
Nabih Berri,Consult,Council of Representatives,2014-04-14
Iran,Consult,UN Security Council,2014-06-12
Japan,Express intent to cooperate,China,2014-11-20
Iran,Engage in diplomatic cooperation,Iraq,2014-01-07
Jens Stoltenberg,Make statement,North Atlantic Treaty Organization,2014-11-27
Tajikistan,Consult,Kazakhstan,2014-06-16
Head of Government (Egypt),Consult,Energy Department/Ministry (Egypt),2014-12-08
Japan,Make an appeal or request,North Korea,2014-10-16
Mohammad Javad Zarif,Express intent to meet or negotiate,John Kerry,2014-10-16
John Kerry,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-02-02
South Korea,Express intent to meet or negotiate,Japan,2014-06-24
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-12-13
Arnaud Montebourg,Make statement,Education Ministry (France),2014-08-24
Citizen (Thailand),Make an appeal or request,Gen Prayut Chan-o-cha,2014-12-25
Oman,Consult,Iran,2014-08-11
Citizen (Nigeria),Make an appeal or request,Defense / Security Ministry (Nigeria),2014-04-22
China,Cooperate economically,Iran,2014-11-24
Sergey Viktorovich Lavrov,Discuss by telephone,Pavlo Klimkin,2014-08-15
Laos,Consult,Cambodia,2014-08-31
United States Senate,Consult,Martin Stropnický,2014-05-01
South Korea,Consult,Japan,2014-06-01
Armenia,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-10-21
United Arab Emirates,Express intent to cooperate,Ethiopia,2014-06-24
Blogger (Iran),Consult,Party Member (Iran),2014-07-08
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-06
Citizen (Nigeria),Accuse,Government (Nigeria),2014-09-25
Government (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-12-06
South Korea,Express intent to meet or negotiate,North Korea,2014-09-23
Tajikistan,Express intent to meet or negotiate,Islam Karimov,2014-09-11
Xi Jinping,Meet at a 'third' location,China,2014-07-21
France,Engage in negotiation,Iran,2014-09-11
Mohammad Javad Zarif,Make statement,Iran,2014-08-24
Indigenous People (Nigeria),Consult,Vanguard,2014-03-14
Foreign Affairs (Russia),Engage in negotiation,Foreign Affairs (Syria),2014-06-27
China,Express intent to meet or negotiate,Xi Jinping,2014-12-16
Joao Lourenco,Consult,Foreign Affairs (United States),2014-09-16
Portia Simpson Miller,Consult,Legislature (Jamaica),2014-10-15
