head,relation,tail
Micky Rosenfeld,Make statement,Police (Israel)
Iran,Express intent to provide material aid,Iraq
John Kerry,Make an appeal or request,"Government (Palestinian Territory, Occupied)"
Frank Bainimarama,Make a visit,Fiji
Pakistan Tehreek-e-Insaf,Grant diplomatic recognition,Legislature (Pakistan)
Uhuru Muigai Kenyatta,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya)
Protester (Indonesia),Demonstrate or rally,Police (Indonesia)
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov
France,Express intent to meet or negotiate,Iran
Rafiq Hariri,Make a visit,Student (Lebanon)
Citizen (Malaysia),Criticize or denounce,National Front Malaysia
China,Accuse,Japan
John Kerry,Make statement,China
Police (Kosovo),Investigate,Citizen (Kosovo)
China,Host a visit,Employee (Myanmar)
Imran Khan,Consult,Tahirul Qadri
Federica Mogherini,Express intent to engage in diplomatic cooperation (such as policy support),Fumio Kishida
Vitali Klitschko,Make an appeal or request,Head of Government (Ukraine)
Member of Legislative (Govt) (Nigeria),Reject,Democratic Party (Nigeria)
UN Security Council,Make statement,Sudan
City Mayor (Venezuela),Make an appeal or request,Citizen (Venezuela)
Amr Mohammed Moussa,Make statement,Abdel Fattah Al-Sisi
Police (Kenya),Accuse,Citizen (Kenya)
Jens Stoltenberg,Express intent to meet or negotiate,Arseniy Yatsenyuk
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria)
Medical Personnel (India),Praise or endorse,Medical Association (India)
Suleiman Abba,Engage in symbolic act,Citizen (Nigeria)
John Kerry,Make a visit,Middle East
Akitaka Saiki,Engage in negotiation,Cho Tai-young
Sheikh Hasina Wajed,Make a visit,China
Protester (Ukraine),"Defy norms, law",Police (Ukraine)
Citizen (Turkey),Use unconventional violence,Nationalist Movement Party
Amnesty International,Make a visit,Iraq
Prayuth Chan-ocha,Make a visit,Malaysia
Afghanistan,Engage in negotiation,Sayed Fazlollah Wahidi
Government (Mexico),Make statement,Criminal (Mexico)
Xi Jinping,Make a visit,Tajikistan
Sheikh Hasina Wajed,Express intent to meet or negotiate,Japan
Military (Lebanon),Make statement,Armed Band (Lebanon)
Afghanistan,Consult,Iran
Military (South Sudan),Use conventional military force,South Sudan
Fumio Kishida,Consult,Ri Su Yong
Prayuth Chan-ocha,Engage in symbolic act,Xi Jinping
Armed Band (Syria),Use unconventional violence,Activist (Syria)
Kim Jong-Un,Make a visit,North Korea
Benjamin Netanyahu,Praise or endorse,Reuven Rivlin
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia)
Government (Burundi),Praise or endorse,UN Security Council
Government (Nigeria),Provide aid,Citizen (Nigeria)
John Kerry,Make a visit,Angola
Police (Israel),Investigate,Criminal (Israel)
Ertharin Cousin,Make a visit,Iran
Chuck Hagel,Consult,Chang Wanquan
Police (Tanzania),Accuse,Criminal (Tanzania)
Barack Obama,Make a visit,South Korea
Ministry (South Africa),Praise or endorse,Government (South Africa)
Iraq,Host a visit,John Kerry
Media (India),Consult,Member of Parliament (India)
Frank Bainimarama,Make a visit,New Zealand
Murtala Nyako,Accuse,Government (Nigeria)
Government (Pakistan),Threaten,Imran Khan
Citizen (Nigeria),Make empathetic comment,Government (Nigeria)
Citizen (United Kingdom),Bring lawsuit against,Shrien Dewani
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya)
Boko Haram,Make pessimistic comment,Citizen (Nigeria)
Tzipi Livni,Consult,Martin Indyk
Government (Nigeria),Make statement,Ogbeni Rauf Aregbesola
China,Consult,Japan
South Korea,Make an appeal or request,North Korea
Sergey Viktorovich Lavrov,Consult,Sergey Kuzhugetovich Shoygu
Extremist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria)
Tahirul Qadri,"Protest violently, riot",Government (Pakistan)
Military Personnel (Philippines),Make statement,Military (Philippines)
Police (Australia),Accuse,Citizen (Australia)
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States)
Secretariat (Nigeria),Accuse,Citizen (Nigeria)
Kim Jong-Un,Accuse,South Korea
Armed Gang (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan)
Canada,Make an appeal or request,Foreign Affairs (Russia)
Citizen (Nigeria),Reduce or break diplomatic relations,Murtala Nyako
Haider Al-Abadi,Consult,Iran
Aladdin Boroujerdi,Make statement,Iran
Barack Obama,Demand,Iran
Afghanistan,Engage in diplomatic cooperation,Iran
Algirdas Butkevičius,Make optimistic comment,Citizen (Lithuania)
Police (Israel),Impose administrative sanctions,"Women (Palestinian Territory, Occupied)"
Military (Thailand),Torture,Activist (Thailand)
Government (Kenya),Refuse to yield,Citizen (Kenya)
John Kerry,Consult,Sergey Viktorovich Lavrov
Federica Mogherini,Make a visit,Poland
Commando (India),Express intent to meet or negotiate,Citizen (India)
Imran Khan,Make statement,Tahirul Qadri
France,Consult,Canada
Victor Ponta,Engage in negotiation,Klaus Johannis
Police (Australia),Demand,Citizen (Australia)
Mohammad Javad Zarif,Make statement,Iran
Police (Indonesia),"Abduct, hijack, or take hostage",Citizen (Indonesia)
Eugene Wamalwa,Appeal for change in leadership,Citizen (Kenya)
Benjamin Netanyahu,Cooperate militarily,Police (Israel)
Rights Activist (China),Make statement,China
Julius Malema,Mobilize or increase armed forces,South Africa
Court Judge (Namibia),Demand,Citizen (Namibia)
North Korea,Host a visit,Kim Jong-Un
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia)
Citizen (Kenya),Make an appeal or request,Government (Kenya)
Armed Gang (Libya),Use unconventional violence,Military (Lebanon)
Barack Obama,Express intent to meet or negotiate,Pope Francis
China,Praise or endorse,Iraq
Citizen (Australia),fight with small arms and light weapons,Police (Australia)
Citizen (South Korea),Ease administrative sanctions,South Korea
Angela Merkel,Appeal for political reform,France
Japan,Engage in negotiation,North Korea
Police (Kenya),Impose administrative sanctions,Citizen (Kenya)
Jens Stoltenberg,Host a visit,Ashraf Ghani Ahmadzai
Raúl Castro,Consult,Barack Obama
John Kerry,Make statement,Haider Al-Abadi
Angela Merkel,Express intent to cooperate,Barack Obama
Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras
Nationalist Movement Party,Use conventional military force,Citizen (Turkey)
Police (Australia),Make an appeal or request,Citizen (Australia)
Xi Jinping,Make statement,Military (China)
Hamas,Make statement,Benjamin Netanyahu
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,North Atlantic Treaty Organization
Gazprom,Express intent to engage in diplomatic cooperation (such as policy support),China
John Kerry,Praise or endorse,Japan
Pakistan Tehreek-e-Insaf,Express intent to meet or negotiate,Government (Pakistan)
Somali National Army,Use conventional military force,Al-Shabaab
China,Engage in diplomatic cooperation,Myanmar
Xi Jinping,Consult,Yasuo Fukuda
Foreign Affairs (Syria),Meet at a 'third' location,Iraq
Uganda People's Defence Force,"Arrest, detain, or charge with legal action",Al-Shabaab
North Atlantic Treaty Organization,Consult,John Kerry
Anupong Paochinda,Make an appeal or request,Governor (Thailand)
Royal Administration (Saudi Arabia),Make a visit,France
Vietnam,Engage in diplomatic cooperation,Thailand
Angela Merkel,Discuss by telephone,François Hollande
Jean-Yves Le Drian,Express intent to meet or negotiate,France
Afghanistan,Host a visit,Ashraf Ghani Ahmadzai
Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom)
Sergey Viktorovich Lavrov,Consult,Børge Brende
Citizen (India),Appeal for diplomatic cooperation (such as policy support),Employee (India)
Other Authorities / Officials (China),Impose restrictions on political freedoms,China
Kuwait,Meet at a 'third' location,Oman
Citizen (United Kingdom),Use unconventional violence,Iraq
Guatemala,Express intent to cooperate,Mexico
Barack Obama,Consult,Benjamin Netanyahu
Naoki Inose,Reduce relations,Japan
Foreign Affairs (Russia),Make an appeal or request,Canada
China,Criticize or denounce,Kim Jong-Un
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif
Mehmet Simsek,Host a visit,Abdullah bin Nasser bin Khalifa Al-Thani
Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong)
Citizen (Thailand),Use unconventional violence,Protester (Thailand)
China,Sign formal agreement,Abdel Fattah Al-Sisi
South Africa,Ease administrative sanctions,Julius Malema
Iran,Sign formal agreement,Iraq
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria)
Barack Obama,Express intent to meet or negotiate,Mexico
Member of the Judiciary (South Africa),Make statement,South Africa
France,Praise or endorse,Military (Lebanon)
Combatant (Al-Shabaab),Use unconventional violence,Somali National Army
Military (Thailand),Mobilize or increase armed forces,Thailand
Citizen (India),Threaten,Employee (India)
Alex Salmond,Make an appeal or request,Citizen (United Kingdom)
Cabinet / Council of Ministers / Advisors (United States),Sign formal agreement,Benjamin Netanyahu
Abdullah Gül,Engage in diplomatic cooperation,Kuwait
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan
Xi Jinping,Consult,Barack Obama
China,Make optimistic comment,Thailand
Japan,Make a visit,North Korea
Ashraf Ghani Ahmadzai,Accuse,Abdullah Abdullah
Yulia Tymoshenko,Make an appeal or request,Elmar Brok
Xi Jinping,Consult,Head of Government (China)
Malaysia,Provide humanitarian aid,Citizen (Malaysia)
Adama Dieng,Make a visit,Burundi
China,Express intent to meet or negotiate,South Korea
Government (Nigeria),Make statement,Medical Personnel (Nigeria)
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry
Canada,Express intent to engage in diplomatic cooperation (such as policy support),Business (Canada)
Viktor Orban,Make an appeal or request,Citizen (Hungary)
Head of Government (Nigeria),Praise or endorse,Government (Nigeria)
North Korea,Engage in negotiation,Japan
Sharad Pawar,Make an appeal or request,Citizen (India)
Israeli Defense Forces,"Arrest, detain, or charge with legal action",Children (Israel)
Head of Government (India),Make an appeal or request,Citizen (India)
Nuri al-Maliki,Make statement,Iraq
Men (India),Use unconventional violence,Women (Denmark)
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa)
International Monetary Fund,Provide humanitarian aid,Portugal
Civic Group (Afghanistan),Make statement,Election Commission (Afghanistan)
Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand)
Abdel Fattah Al-Sisi,Host a visit,Congress (United States)
Foreign Affairs (United States),Express intent to meet or negotiate,United Arab Emirates
United Arab Emirates,Engage in diplomatic cooperation,Qatar
Behrouz Kamalvandi,Make optimistic comment,Iran
Kathleen Wynne,Make a visit,Canada
Military (Turkey),Use tactics of violent repression,Protester (Turkey)
Military (South Sudan),Occupy territory,South Sudan
North Korea,"Return, release person(s)",Jeffrey Fowle
Victor Ponta,Make statement,Romania
Citizen (Thailand),Demand humanitarian aid,Military (Thailand)
John Kerry,Make a visit,South Korea
South Korea,Express intent to cooperate,China
Police (Cote d'Ivoire),Reject,Citizen (Cote d'Ivoire)
William Ruto,Threaten non-force,Citizen (Kenya)
Legislature (Pakistan),Reject,Tahirul Qadri
Jens Stoltenberg,Consult,Mevlut Cavusoglu
Government (Pakistan),Consult,Tehrik-i-Taliban Pakistan
Barack Obama,Express intent to cooperate economically,Vietnam
Barack Obama,Express intent to cooperate,Angela Merkel
France,Sign formal agreement,Iran
Protester (Thailand),Impose restrictions on political freedoms,Thailand
Armenia,Host a visit,Seyran Ohanyan
Foreign Affairs (United States),Sign formal agreement,Julie Bishop
Armed Gang (Afghanistan),"Conduct suicide, car, or other non-military bombing",Afghanistan
Umar al Bashir,Consult,Abdel Fattah Al-Sisi
Raheel Sharif,Make a visit,Afghanistan
Military Personnel (Yemen),Praise or endorse,Governor (Yemen)
Citizen (Yemen),Accuse,Armed Rebel (Yemen)
Mohammad Javad Zarif,Consult,Catherine Ashton
China,Consult,Malaysia
Barack Obama,Make a visit,Malaysia
Iraq,"Arrest, detain, or charge with legal action",Militant (Iraq)
Ministry (Nigeria),Make statement,Media (Africa)
Police (Kenya),"Return, release person(s)",Men (Kenya)
Villager (India),Criticize or denounce,Citizen (India)
France,Sign formal agreement,China
Myanmar,Host a visit,Association of Southeast Asian Nations
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai
Fumio Kishida,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry
Japan,Make a visit,China
Oman,Consult,Kuwait
Police (Egypt),Use tactics of violent repression,Protester (Egypt)
Ministry (Croatia),Make an appeal or request,Veterans (Croatia)
Iran,Praise or endorse,Hamas
Government Official (Thailand),Make statement,Thailand
North Korea,fight with small arms and light weapons,South Korea
Ministry (Nigeria),"Demand meeting, negotiation",Citizen (Nigeria)
Antonis Samaras,Consult,Dimitrios Avramopoulos
Citizen (Greece),Criticize or denounce,Alexis Tsipras
Police (Israel),Use conventional military force,"Armed Gang (Palestinian Territory, Occupied)"
Ashraf Ghani Ahmadzai,Consult,Mamnoon Hussain
Court Judge (United Kingdom),Criticize or denounce,Citizen (United Kingdom)
Cabinet / Council of Ministers / Advisors (Angola),Make statement,Angola
Umar al Bashir,Make statement,Sudan
Mauricio Domogan,Make statement,Philippines
Barack Obama,Discuss by telephone,Mexico
Citizen (Kenya),Accuse,Government (Kenya)
Sergey Viktorovich Lavrov,Consult,John Kerry
Police (Kenya),Reject,Citizen (Kenya)
France,Criticize or denounce,François Hollande
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov
Farm Worker (Nigeria),Make an appeal or request,Government (Nigeria)
Angela Merkel,Demand,Yulia Tymoshenko
Boko Haram,Use conventional military force,Military Personnel - Special (Nigeria)
China,Express intent to provide material aid,Sierra Leone
North Korea,Deny responsibility,South Korea
Thief (India),fight with small arms and light weapons,Citizen (India)
Governor (Kenya),Make statement,Government (Kenya)
Lawyer/Attorney (Turkey),Make an appeal or request,Other Authorities / Officials (Turkey)
Chuck Hagel,Make statement,Iraq
Chibuike Rotimi Amaechi,Make an appeal or request,Citizen (Nigeria)
Militant (Iraq),Occupy territory,Iraq
Foreign Affairs (Russia),Host a visit,Foreign Affairs (United States)
North Korea,Reject,Japan
Caroline Kennedy,Appeal for diplomatic cooperation (such as policy support),Japan
Party Member (Iraq),Make statement,National Alliance (Iraq)
Tajikistan,Host a visit,Xi Jinping
Citizen (Brazil),Criticize or denounce,Gilberto Kassab
Qatar,Host a visit,Head of Government (Gambia)
Mohammad Javad Zarif,Make statement,Cabinet / Council of Ministers / Advisors (United States)
Iran,"Express intent to change institutions, regime",Iraq
Legislature (Romania),Praise or endorse,Victor Ponta
Military (Lebanon),Use conventional military force,Militant (Syria)
Government (Nigeria),Accuse,Chibuike Rotimi Amaechi
Klaus Johannis,Consult,Victor Ponta
China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia
Cabinet / Council of Ministers / Advisors (United States),Consult,Foreign Affairs (Russia)
Xi Jinping,Praise or endorse,Barack Obama
Police (Malaysia),Make statement,Malaysia
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan
Iran,Make a visit,Ireland
New Zealand,Host a visit,Xi Jinping
China,Express intent to engage in diplomatic cooperation (such as policy support),Portugal
Massoud Barzani,Consult,Legislature (Iraq)
South Korea,Express intent to cooperate,Japan
Criminal (Brazil),"Return, release person(s)",Citizen (Brazil)
Abdel Fattah Al-Sisi,Make a visit,France
Citizen (Thailand),Criticize or denounce,Thief (Thailand)
Bismillah Khan Mohammadi,Make statement,Afghanistan
China,Host a visit,Abdel Fattah Al-Sisi
China,Make optimistic comment,Iran
Member of the Judiciary (Nigeria),Make pessimistic comment,Citizen (Nigeria)
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,Abdullah Abdullah
Imran Khan,Threaten,Government (Pakistan)
Martin Lidegaard,Express intent to meet or negotiate,Mohammad Javad Zarif
Foreign Affairs (South Korea),Appeal for judicial cooperation,Foreign Affairs (United States)
Vitali Klitschko,Make statement,Protester (Ukraine)
China,Host a visit,Head of Government (Turkmenistan)
Frank Bainimarama,Make statement,Fiji
Middle East,Consult,John Kerry
Pedro Manuel Mamede Passos Coelho,Make statement,Portugal
Frank Bainimarama,Engage in negotiation,Julie Bishop
Raj Thackeray,Make an appeal or request,Citizen (India)
Protester (Hong Kong),Demonstrate or rally,Other Authorities / Officials (Hong Kong)
Nurse (United States),Make a visit,Sierra Leone
Police (Sudan),fight with small arms and light weapons,Citizen (Sudan)
Head of Government (Ukraine),Consult,Angela Merkel
Japan,Sign formal agreement,China
Liyel Imoke,Praise or endorse,Citizen (Nigeria)
Haider Al-Abadi,Praise or endorse,Iran
Police (Ukraine),Make statement,Arseniy Yatsenyuk
Abdullah Abdullah,Make statement,Afghanistan
Citizen (Thailand),Criticize or denounce,Protester (Thailand)
Sergey Viktorovich Lavrov,Consult,Paolo Gentiloni
Catherine Ashton,Make a visit,South Korea
Ministry (South Africa),Make statement,South Africa
Rafael Ramírez,Express intent to meet or negotiate,Pedro Joaquin Coldwell
Bangladesh Nationalist Party,Make statement,Awami (People's) League
France,"Arrest, detain, or charge with legal action",Men (France)
Iran,Host a visit,Nuri al-Maliki
Abdullah Gül,Make optimistic comment,China
Iran,Consult,Oman
Catherine Ashton,Meet at a 'third' location,John Kerry
Military (Mozambique),Use conventional military force,Armed Gang (RENAMO)
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov
Court Judge (Nigeria),Demand,Government (Nigeria)
Governor (India),Praise or endorse,Tarun Gogoi
Jitan Ram Manjhi,Make an appeal or request,Citizen (India)
Poland,Reduce relations,Foreign Affairs (Belarus)
Citizen (Thailand),Use unconventional violence,Thailand
Coalition of the Radical Left,Accuse,Panhellenic Socialist Movement
Militant (Nigeria),"Abduct, hijack, or take hostage",Citizen (Nigeria)
María Ángela Holguín,Host a visit,John Kerry
Xi Jinping,Make statement,China
Rioter (India),Use unconventional violence,Citizen (India)
Police (Malaysia),"Arrest, detain, or charge with legal action",Men (Malaysia)
China,Criticize or denounce,Philippines
Madagascar,Express intent to meet or negotiate,International Monetary Fund
Armed Gang (Egypt),Use unconventional violence,Police (Egypt)
Evangelos Venizelos,Make an appeal or request,Citizen (Greece)
Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico)
Abdullah Abdullah,Consult,John Kerry
Sergey Viktorovich Lavrov,Make a visit,Ethiopia
Central Intelligence Agency,"Arrest, detain, or charge with legal action",Citizen (India)
Thailand,Expel or deport individuals,Immigrants (Cambodia)
Angela Merkel,Praise or endorse,Head of Government (Qatar)
Canada,Engage in symbolic act,Canadian Armed Forces
Massoud Barzani,Consult,François Hollande
Barack Obama,Make a visit,North Korea
City Mayor (Philippines),Make statement,Philippines
Boko Haram,Use unconventional violence,Citizen (Nigeria)
Foreign Affairs (United States),Make a visit,France
Citizen (India),Make an appeal or request,Oommen Chandy
Police (South Korea),Confiscate property,Citizen (South Korea)
Benjamin Netanyahu,Accuse of aggression,Hamas
Citizen (United Kingdom),Reject,Conservative Party (United Kingdom)
John Kerry,Consult,Benjamin Netanyahu
Vietnam,Criticize or denounce,China
Main Opposition (Greece),Criticize or denounce,Antonis Samaras
Police (Australia),Criticize or denounce,Citizen (Australia)
Armed Rebel (Ukraine),Sign formal agreement,Malaysia
Defense / Security Ministry (Nigeria),Make statement,Government (Nigeria)
Business (Iran),Express intent to cooperate,Iran
Philip Hammond,Threaten,North Atlantic Treaty Organization
Military Personnel - Special (Afghanistan),Use conventional military force,Armed Rebel (Afghanistan)
Israeli Defense Forces,Make statement,Hamas
Election Commission (India),Criticize or denounce,Citizen (India)
Abdullah Abdullah,Reduce relations,Election Commission (Afghanistan)
Japan,Express intent to cooperate economically,Myanmar
Prayuth Chan-ocha,Demand,Ministry (Thailand)
François Hollande,Praise or endorse,Abdel Fattah Al-Sisi
Member of Parliament (India),Accuse,Citizen (India)
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry
Police (Israel),"Arrest, detain, or charge with legal action",Israeli Defense Forces
Arnaud Montebourg,Criticize or denounce,Government (France)
China,Engage in diplomatic cooperation,Japan
Shiv Sena,Physically assault,Citizen (India)
Alfred Mutua,Criticize or denounce,Citizen (Kenya)
Main Opposition (Turkey),Criticize or denounce,Justice and Development Party
Serbia,Host a visit,Pope Francis
Protester (Egypt),Demonstrate or rally,Police (Egypt)
Police (Philippines),"Arrest, detain, or charge with legal action",Employee (Philippines)
Military (Philippines),Express intent to engage in diplomatic cooperation (such as policy support),Philippines
John Kerry,Make a visit,China
Antonis Samaras,Consult,Evangelos Venizelos
Benjamin Netanyahu,Discuss by telephone,John Kerry
François Hollande,Host a visit,Angela Merkel
Iraq,Make statement,National Alliance (Iraq)
Militant (Mali),fight with small arms and light weapons,Military (Mali)
Organisation of Islamic Cooperation,Make a visit,Morocco
Citizen (Kenya),Consult,Alfred Mutua
Ministry (Nigeria),Make an appeal or request,Labor Union (Nigeria)
Antonis Samaras,Express intent to meet or negotiate,Head of Government (Greece)
Citizen (India),Criticize or denounce,Head of Government (India)
Afghanistan,Make statement,Abdullah Abdullah
Combatant (Iraqi Kurds),Occupy territory,Iraq
Arsen Avakov,Make statement,Police (Ukraine)
Japan,Host a visit,Barack Obama
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria)
Police (Australia),fight with small arms and light weapons,Citizen (Australia)
Armed Rebel (Yemen),Retreat or surrender militarily,Citizen (Yemen)
South Sudan,Accuse,Government (Sudan)
Police (Philippines),Make statement,Criminal (Philippines)
Iran,Make statement,Mohammad Javad Zarif
Qatar,Engage in diplomatic cooperation,Iran
Citizen (Nigeria),Make an appeal or request,Assemblies (Nigeria)
Military Personnel (Nigeria),Use conventional military force,Citizen (Nigeria)
Head of Government (Nigeria),Criticize or denounce,Citizen (Nigeria)
Border Security Force,"Arrest, detain, or charge with legal action",Citizen (India)
Head of Government (India),Praise or endorse,Japan
Thailand,Engage in symbolic act,Citizen (Thailand)
Police (Tanzania),fight with small arms and light weapons,Citizen (Tanzania)
John Kerry,Engage in negotiation,John Baird
Benjamin Netanyahu,Consult,Joseph Robinette Biden
China,Host a visit,Chuck Hagel
Malaysia,Praise or endorse,Thailand
Citizen (Tanzania),Express intent to meet or negotiate,Tanzania
Police (Kenya),fight with small arms and light weapons,Indigenous People (Kenya)
Antonis Samaras,Consult,Angela Merkel
South Korea,Host a visit,Xi Jinping
Shimon Peres,Consult,Xi Jinping
François Hollande,Express intent to meet or negotiate,Kazakhstan
Iran,Engage in diplomatic cooperation,Oman
Party Member (Tanzania),Make a visit,Angola
Court Judge (Nigeria),Reject,Citizen (Nigeria)
Raj Thackeray,Demand diplomatic cooperation (such as policy support),Citizen (India)
Bahrain,Demand,Foreign Affairs (United States)
Fiji,Host a visit,Head of Government (India)
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States)
Secretary of State for the Home Department,Accuse,Citizen (United Kingdom)
Vietnam,Make statement,China
Sergey Kuzhugetovich Shoygu,Make a visit,China
Foreign Affairs (Russia),Make statement,Iraq
Abdullah Abdullah,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan
Congress (Nigeria),Accuse,Citizen (Nigeria)
Colombia,Host a visit,Zhang Dejiang
Xi Jinping,Make an appeal or request,Other Authorities / Officials (China)
South Africa,Reduce or break diplomatic relations,Foreign Affairs (Rwanda)
Governor (Kenya),Express intent to cooperate,Employee (Kenya)
Laos,Host a visit,North Korea
China,Sign formal agreement,Japan
Police (Yemen),Use conventional military force,Armed Rebel (Yemen)
Foreign Affairs (Austria),Praise or endorse,Iran
Military Personnel (Kenya),Make statement,Police (Kenya)
Emal Faizi,Make statement,Afghanistan
Tsai Ing-wen,Criticize or denounce,Ma Ying Jeou
China,Veto,UN Security Council
Government (United States),Provide aid,Government (Nigeria)
John Kerry,Make statement,North Korea
Insurgent (Thailand),Use unconventional violence,Military (Thailand)
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Børge Brende
Romania,Host a visit,China
Iran,Engage in diplomatic cooperation,Middle East
Thief (India),Kill by physical assault,Citizen (India)
Japan,Host a visit,Toomas Hendrik Ilves
Military (South Sudan),Praise or endorse,Riek Machar
Police (South Korea),Investigate,Citizen (South Korea)
Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria)
Combatant (Taliban),Use unconventional violence,Afghanistan
Police (Philippines),"Arrest, detain, or charge with legal action",Criminal (Philippines)
Morocco,"Arrest, detain, or charge with legal action",Men (Morocco)
Other Authorities / Officials (Philippines),Investigate,Police (Philippines)
China,Express intent to cooperate,Japan
Military (Lebanon),fight with small arms and light weapons,Armed Gang (Lebanon)
John Kerry,Engage in negotiation,Abdel Fattah Al-Sisi
Iran,Make statement,Edgars Rinkevics
Canada,Express intent to cooperate,Japan
Joseph Ole Lenku,Make statement,Police (Kenya)
United Arab Emirates,Sign formal agreement,Japan
Iraq,Investigate,Health Ministry (Iraq)
Amina Mohamed,Make a visit,Iran
Ministry (Sudan),Sign formal agreement,Treasury/Finance Ministry (Sudan)
Thailand,Impose administrative sanctions,Citizen (Thailand)
