head,relation,tail,time
South Korea,Express intent to cooperate,Japan,2014-10-11
Criminal (Brazil),"Return, release person(s)",Citizen (Brazil),2014-05-18
Member of the Judiciary (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-09-29
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,Abdullah Abdullah,2014-07-14
South Korea,Express intent to cooperate,China,2014-07-04
Police (Sudan),fight with small arms and light weapons,Citizen (Sudan),2014-01-16
Japan,Sign formal agreement,China,2014-11-09
Liyel Imoke,Praise or endorse,Citizen (Nigeria),2014-01-23
Sergey Viktorovich Lavrov,Consult,Paolo Gentiloni,2014-12-04
Rafael Ramírez,Express intent to meet or negotiate,Pedro Joaquin Coldwell,2014-11-07
Iran,Host a visit,Nuri al-Maliki,2014-11-11
Catherine Ashton,Meet at a 'third' location,John Kerry,2014-11-09
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-04
Juan Carlos Pinzon,Accuse,National Liberation Army,2014-06-03
Citizen (Thailand),Use unconventional violence,Thailand,2014-07-03
María Ángela Holguín,Host a visit,John Kerry,2014-02-28
Sergey Viktorovich Lavrov,Make a visit,Ethiopia,2014-09-01
Thailand,Expel or deport individuals,Immigrants (Cambodia),2014-06-15
Barack Obama,Make a visit,North Korea,2014-04-25
Benjamin Netanyahu,Accuse of aggression,Hamas,2014-07-28
John Kerry,Consult,Benjamin Netanyahu,2014-12-12
Police (Australia),Criticize or denounce,Citizen (Australia),2014-12-01
Ministry (Nigeria),Make statement,Government (Nigeria),2014-11-13
Israeli Defense Forces,Make statement,Hamas,2014-08-03
Nuri al-Maliki,Make statement,Air Force (Iraq),2014-08-04
Election Commission (India),Criticize or denounce,Citizen (India),2014-04-24
Abdullah Abdullah,Reduce relations,Election Commission (Afghanistan),2014-07-05
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-10-14
China,Engage in diplomatic cooperation,Japan,2014-05-09
Alfred Mutua,Criticize or denounce,Citizen (Kenya),2014-11-03
Main Opposition (Turkey),Criticize or denounce,Justice and Development Party,2014-01-11
John Kerry,Make a visit,China,2014-02-10
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-23
François Hollande,Host a visit,Angela Merkel,2014-05-11
Militant (Mali),fight with small arms and light weapons,Military (Mali),2014-05-21
Amr Mohammed Moussa,Make statement,Hamdeen Sabahi,2014-02-10
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-04-16
Police (Australia),fight with small arms and light weapons,Citizen (Australia),2014-02-14
Head of Government (India),Praise or endorse,Japan,2014-01-07
Other Authorities / Officials (Mexico),Make statement,Héctor Beltrán Leyva,2014-10-07
Shimon Peres,Consult,Xi Jinping,2014-04-09
Bahrain,Demand,Foreign Affairs (United States),2014-07-07
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-03-08
Congress (Nigeria),Accuse,Citizen (Nigeria),2014-04-28
China,Sign formal agreement,Japan,2014-11-10
John Kerry,Make statement,North Korea,2014-02-14
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Børge Brende,2014-01-20
China,Express intent to cooperate,Japan,2014-09-11
Military (Lebanon),fight with small arms and light weapons,Armed Gang (Lebanon),2014-10-26
John Kerry,Engage in negotiation,Abdel Fattah Al-Sisi,2014-06-22
Joseph Ole Lenku,Make statement,Police (Kenya),2014-04-23
François Hollande,Consult,Angela Merkel,2014-10-17
John Kerry,Make optimistic comment,Legislature (Lebanon),2014-06-04
Pavlo Klimkin,Consult,Sergey Viktorovich Lavrov,2014-07-03
North Korea,Reject,South Korea,2014-10-30
Police (Indonesia),Investigate,Citizen (Indonesia),2014-06-06
Citizen (Kenya),Criticize or denounce,Government (Kenya),2014-11-11
Association of Southeast Asian Nations,Make pessimistic comment,Vietnam,2014-05-10
Malala Yousafzai,Appeal for de-escalation of military engagement,Boko Haram,2014-07-15
Japan,Express intent to cooperate,North Korea,2014-05-28
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-02-11
South Korea,Make an appeal or request,China,2014-06-25
Thief (India),Physically assault,Citizen (India),2014-09-19
Iran,Consult,Catherine Ashton,2014-06-16
China,Express intent to meet or negotiate,Vietnam,2014-06-18
Abdullah Abdullah,Express intent to cooperate,Ashraf Ghani Ahmadzai,2014-07-12
Barack Obama,Consult,Benjamin Netanyahu,2014-07-27
Barack Obama,Consult,North Atlantic Treaty Organization,2014-09-06
Sergey Viktorovich Lavrov,Make statement,Iran,2014-01-16
Militia (Kenya),Use unconventional violence,Police (Kenya),2014-07-21
North Korea,Express intent to meet or negotiate,South Korea,2014-07-12
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-04-01
Benjamin Netanyahu,Express intent to cooperate,Yair Lapid,2014-09-22
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-12-29
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-07
Protester (Bosnia and Herzegovina),"Protest violently, riot",Police (Bosnia and Herzegovina),2014-02-05
Police (Australia),Investigate,Citizen (Australia),2014-01-23
Abdul Aziz,Host a visit,China,2014-03-13
North Korea,"Reject proposal to meet, discuss, or negotiate",South Korea,2014-06-13
Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-03-13
South Korea,Express intent to provide humanitarian aid,North Korea,2014-03-26
Federica Mogherini,Consult,Sergey Viktorovich Lavrov,2014-12-04
Police (Philippines),Use conventional military force,Criminal (Philippines),2014-04-08
Massoud Barzani,Demand,Nuri al-Maliki,2014-07-11
Police (Ukraine),Use conventional military force,Protester (Ukraine),2014-01-25
Citizen (Nigeria),Make optimistic comment,Head of Government (Nigeria),2014-06-16
Congress (Nigeria),Make an appeal or request,Scholar (Nigeria),2014-10-28
Ashraf Ghani Ahmadzai,Praise or endorse,China,2014-10-28
Le Hong Anh,Engage in symbolic act,Laos,2014-05-19
Angela Merkel,Discuss by telephone,Afghanistan,2014-09-23
Police (Egypt),Provide aid,Women (Egypt),2014-06-10
High Commission for Refugees,Make statement,Iran,2014-07-18
Benjamin Netanyahu,Make statement,Angela Merkel,2014-02-24
Barack Obama,Make statement,Xi Jinping,2014-11-13
New Zealand,Host a visit,Xi Jinping,2014-11-18
South Korea,Express intent to meet or negotiate,North Korea,2014-08-11
Head of Government (India),Express intent to meet or negotiate,Citizen (India),2014-12-14
Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014-03-03
China,Cooperate economically,France,2014-03-26
Xi Jinping,Consult,China,2014-07-15
Japan,Meet at a 'third' location,China,2014-11-16
Israeli Defense Forces,Make statement,Hamas,2014-07-11
South Africa,Accuse,Foreign Affairs (Rwanda),2014-03-13
Police (Ukraine),Make statement,Protester (Ukraine),2014-02-18
China,Criticize or denounce,Japan,2014-03-31
China,Consider policy option,Japan,2014-09-26
Citizen (Belgium),Demonstrate or rally,Government (Belgium),2014-11-06
Human Rights Commission (Nigeria),Criticize or denounce,Citizen (Nigeria),2014-10-13
Member of Parliament (India),"Defy norms, law",Citizen (India),2014-11-01
Police (Ukraine),Criticize or denounce,Protester (Ukraine),2014-01-24
Mohammad Javad Zarif,Express intent to meet or negotiate,John Kerry,2014-10-16
John Kerry,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-02-02
South Korea,Express intent to meet or negotiate,Japan,2014-06-24
Police (New Zealand),Engage in material cooperation,Other Authorities / Officials (Switzerland),2014-08-26
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-12-13
Tehrik-i-Taliban Pakistan,Use conventional military force,Education (Pakistan),2014-12-16
China,Cooperate economically,Iran,2014-11-24
Sergey Viktorovich Lavrov,Discuss by telephone,Pavlo Klimkin,2014-08-15
South Korea,Consult,Japan,2014-06-01
Armenia,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-10-21
Citizen (Hungary),Demand,Viktor Orban,2014-10-28
South Korea,Express intent to meet or negotiate,North Korea,2014-09-23
Tajikistan,Express intent to meet or negotiate,Islam Karimov,2014-09-11
Xi Jinping,Meet at a 'third' location,China,2014-07-21
Boko Haram,fight with small arms and light weapons,Cameroon,2014-05-19
Blogger (Uganda),Make an appeal or request,Keriako Tobiko,2014-04-16
Bangladesh Nationalist Party,Conduct strike or boycott,Awami (People's) League,2014-03-19
Japan Self-Defense Forces,Use tactics of violent repression,Simon Ostrovsky,2014-04-23
Court Judge (Nigeria),Accuse,Citizen (Nigeria),2014-01-14
Milos Zeman,Make a visit,China,2014-08-18
Police (Australia),Make an appeal or request,Criminal (Australia),2014-12-15
Court Judge (India),Make an appeal or request,Citizen (India),2014-12-02
Abdullah Abdullah,Make an appeal or request,Election Commission (Iran),2014-06-20
Fessehaye Yohannes,"Reject proposal to meet, discuss, or negotiate",South Africa,2014-09-24
Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2014-01-30
Benjamin Netanyahu,Make an appeal or request,John Kerry,2014-07-22
South Korea,Engage in diplomatic cooperation,North Korea,2014-01-03
Leopoldo López,Demand,Citizen (Venezuela),2014-03-06
China,Demonstrate military or police power,Japan,2014-12-23
Armed Gang (Afghanistan),Carry out suicide bombing,Military Personnel - Special (Afghanistan),2014-03-26
China,Praise or endorse,Cabinet / Council of Ministers / Advisors (United States),2014-02-14
John Kerry,Make a visit,Middle East,2014-09-10
South Korea,Engage in diplomatic cooperation,China,2014-05-27
Barack Obama,Host a visit,Benjamin Netanyahu,2014-03-03
Citizen (India),Criticize or denounce,Thief (India),2014-08-14
Nuri al-Maliki,Make statement,Iraq,2014-01-07
Barack Obama,Make an appeal or request,Abdullah Abdullah,2014-07-09
Catherine Ashton,Make statement,Iran,2014-03-12
Human Rights Watch,Make statement,Cambodia,2014-09-25
Other Authorities / Officials (Namibia),Reject,Citizen (Namibia),2014-10-29
Japan,Engage in negotiation,China,2014-03-16
Denis Napthine,Expel or deport individuals,Member of Parliament (Australia),2014-09-03
Amit Shah,Accuse,Bhupinder Singh Hooda,2014-10-01
Police (Kenya),fight with small arms and light weapons,Citizen (Kenya),2014-09-29
Police (Ukraine),Make statement,Protester (Ukraine),2014-02-23
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-05-29
North Korea,Criticize or denounce,South Korea,2014-07-14
Ministry (Iran),Express intent to meet or negotiate,Abu Bakr Abdullah al-Qirbi,2014-05-31
France,Engage in negotiation,Iran,2014-06-16
Liu Zhenmin,Appeal for diplomatic cooperation (such as policy support),North Korea,2014-02-20
Vietnam,Engage in diplomatic cooperation,China,2014-05-15
Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-03-29
Angela Merkel,Consult,Xi Jinping,2014-03-10
Police (South Africa),Investigate,Men (South Africa),2014-03-27
Protester (Vietnam),"Protest violently, riot",China,2014-05-17
Xi Jinping,Engage in negotiation,Tsakhiagiyn Elbegdorj,2014-08-21
Party Member (Japan),Make an appeal or request,Your Party,2014-04-09
North Korea,Criticize or denounce,South Korea,2014-06-13
Police (Australia),Use conventional military force,Women (Australia),2014-12-10
United Arab Emirates,Reduce or break diplomatic relations,Qatar,2014-03-18
Nicos Anastasiades,Consult,Antonis Samaras,2014-10-23
North Korea,Criticize or denounce,Japan,2014-05-20
Police (Egypt),Confiscate property,Women (Egypt),2014-05-30
China,Engage in diplomatic cooperation,South Korea,2014-07-07
China,Make an appeal or request,Malaysia,2014-09-06
Military (Thailand),Use conventional military force,Thailand,2014-05-28
Myanmar,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-10-09
Head of Government (Nigeria),Criticize or denounce,Citizen (Nigeria),2014-01-08
China,Express intent to engage in diplomatic cooperation (such as policy support),Tanzania,2014-02-26
People Associated with the Opposition (Argentina),Criticize or denounce,Cristina Fernández de Kirchner,2014-07-08
Police (Australia),Make an appeal or request,Citizen (Australia),2014-03-20
China,Engage in negotiation,France,2014-07-19
North Korea,Criticize or denounce,South Korea,2014-06-30
Xi Jinping,Make a visit,China,2014-07-23
Bangladesh Nationalist Party,Threaten,Awami (People's) League,2014-03-19
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-03-30
Vietnam,Host a visit,China,2014-10-27
Iran,Use conventional military force,Iraq,2014-12-02
Majid Takht Ravanchi,Make a visit,Iran,2014-01-15
Pakistan Tehreek-e-Insaf,Make statement,Imran Khan,2014-09-09
North Korea,Make an appeal or request,Japan,2014-09-15
Japan,Express intent to meet or negotiate,North Korea,2014-06-01
Yu Zhengsheng,Engage in symbolic act,Religion (China),2014-01-27
France,Express intent to cooperate,Japan,2014-01-09
Myanmar,Express intent to cooperate,Thailand,2014-10-20
Citizen (Kenya),Accuse,Government (Kenya),2014-02-13
Benjamin Netanyahu,Accuse,Hamas,2014-07-28
Iran,Mobilize or increase armed forces,Iraq,2014-06-18
Police (Hong Kong),Make statement,Protester (Hong Kong),2014-11-29
Alpha Condé,Host a visit,Ibrahim Boubacar Keïta,2014-11-01
China,Host a visit,Japan,2014-12-04
John Kerry,Engage in negotiation,Presidential Candidate (Afghanistan),2014-08-08
John Kerry,Make a visit,Iraq,2014-06-25
Catherine Ashton,Consult,John Kerry,2014-10-15
United Arab Emirates,Express intent to release persons or property,Qatar,2014-11-18
Barack Obama,Express intent to provide material aid,South Korea,2014-04-17
Presidential Candidate (Afghanistan),Consult,John Kerry,2014-08-08
Sergey Viktorovich Lavrov,Make statement,John Kerry,2014-07-30
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Slovenia,2014-05-05
Mohammad Javad Zarif,Make statement,Iran,2014-01-28
Sheikh Hasina Wajed,Consult,Abdul Hamid,2014-01-09
Straits Exchange Foundation,Express intent to engage in diplomatic cooperation (such as policy support),Chen Deming,2014-02-27
Iran,Express intent to meet or negotiate,France,2014-06-12
György Matolcsy,Consult,Viktor Orban,2014-12-17
Chuck Hagel,Discuss by telephone,Sergey Kuzhugetovich Shoygu,2014-04-30
Salman Khurshid,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-01-22
Catherine Ashton,Consult,Mohammad Javad Zarif,2014-05-26
South Korea,Host a visit,North Korea,2014-10-08
Government (Pakistan),Demand de-escalation of military engagement,Armed Rebel (Pakistan),2014-02-14
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-04-21
Iraq,Host a visit,Julie Bishop,2014-10-18
Tony Tan Keng Yam,Make a visit,Portugal,2014-05-06
Thailand,Make statement,Cambodia,2014-07-28
Catherine Ashton,Make a visit,Iran,2014-03-08
Barack Obama,Meet at a 'third' location,Xi Jinping,2014-03-25
György Matolcsy,Express intent to meet or negotiate,Viktor Orban,2014-12-17
Martin Lidegaard,Make a visit,Iran,2014-09-06
Joe Natuman,Express intent to meet or negotiate,Vietnam,2014-10-06
Indigenous People (Nigeria),Make statement,Education (Nigeria),2014-10-02
Military (Thailand),Use unconventional violence,Citizen (Thailand),2014-05-23
Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Other Authorities / Officials (Russia),2014-09-01
South Korea,Express intent to meet or negotiate,North Korea,2014-08-14
Samuel J. Locklear,Demand,South Korea,2014-07-30
Head of Government (Egypt),Demand,Other Authorities / Officials (Egypt),2014-06-25
Militant (Yemen),fight with small arms and light weapons,Police (Yemen),2014-06-23
Amnesty International,Make an appeal or request,Government (Nigeria),2014-09-18
Ministry (Angola),Make statement,Government (Angola),2014-03-24
Xi Jinping,Make an appeal or request,Media (China),2014-08-18
Government (Nigeria),"Declare truce, ceasefire",Boko Haram,2014-10-28
South Korea,fight with small arms and light weapons,North Korea,2014-10-19
Citizen (Nigeria),Express intent to cooperate,Ministry (Nigeria),2014-11-04
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-10-07
China,Engage in negotiation,South Africa,2014-07-16
Peter Szijjarto,Consult,Sergey Viktorovich Lavrov,2014-11-19
Court Judge (India),Express intent to cooperate,Citizen (India),2014-02-26
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Ethiopia,2014-06-24
Defense / Security Ministry (China),Make a visit,Tajikistan,2014-03-31
Police (Australia),Criticize or denounce,Citizen (Australia),2014-10-28
Japan,Deny responsibility,North Korea,2014-03-17
Vietnam,Accuse,China,2014-05-27
Thief (India),Make an appeal or request,Citizen (India),2014-05-26
Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-09-26
Joseph Robinette Biden,Make optimistic comment,Arseniy Yatsenyuk,2014-04-22
Catherine Ashton,Consult,John Kerry,2014-07-15
Head of Government (Afghanistan),Express intent to meet or negotiate,China,2014-10-30
Defense / Security Ministry (Ukraine),Make statement,North Atlantic Treaty Organization,2014-09-14
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-06-08
Citizen (Nigeria),Criticize or denounce,Court Judge (Nigeria),2014-12-16
Protester (Thailand),Reduce or stop humanitarian assistance,Thailand,2014-01-22
Joseph Robinette Biden,Make a visit,Romania,2014-05-21
Barack Obama,Express intent to cooperate militarily,Philippines,2014-04-30
Cristina Fernández de Kirchner,Consult,Xi Jinping,2014-07-18
Foreign Affairs (United States),Praise or endorse,Manuel Zelaya,2014-10-01
Vietnam,Make statement,China,2014-09-24
Japan,Host a visit,Barack Obama,2014-04-02
South Korea,Express intent to meet or negotiate,China,2014-09-30
Angela Merkel,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2014-02-21
China,Consult,South Korea,2014-11-16
Military (Thailand),Investigate,Citizen (Thailand),2014-05-24
Farm Worker (Thailand),Impose administrative sanctions,Thailand,2014-02-05
Police (Israel),"Arrest, detain, or charge with legal action",Criminal (Israel),2014-05-01
Citizen (Nigeria),Demand,Government (Nigeria),2014-08-28
China,Host a visit,Sushil Koirala,2014-06-07
Mohammad Javad Zarif,Make statement,Iran,2014-08-20
Armed Gang (India),Use unconventional violence,Citizen (India),2014-06-23
Imran Khan,Make statement,Tahirul Qadri,2014-08-29
John Kerry,Make pessimistic comment,Sergey Viktorovich Lavrov,2014-04-04
North Korea,Make an appeal or request,South Korea,2014-10-20
Oman,Sign formal agreement,Iran,2014-03-12
Police (Australia),fight with small arms and light weapons,Criminal (Australia),2014-09-25
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-06
Xi Jinping,Consult,Raúl Castro,2014-07-22
Akhilesh Yadav,Accuse,Media (India),2014-01-12
John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-05-03
Kathleen Stephens,Engage in symbolic act,Anandiben Patel,2014-08-21
Militant (Iraq),Threaten,Iraq,2014-08-15
Xi Jinping,Consult,François Hollande,2014-03-27
Military Personnel - Special (Afghanistan),Use conventional military force,Attacker (Afghanistan),2014-11-18
China,Accuse,Vietnam,2014-06-19
Mohammad Javad Zarif,Express intent to cooperate,John Kerry,2014-07-16
Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-07-07
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,France,2014-03-05
Student (Hong Kong),Make statement,Protester (Hong Kong),2014-12-12
John Kerry,Make pessimistic comment,Ethiopia,2014-05-01
Iran,Express intent to cooperate,Oman,2014-12-01
Uhuru Muigai Kenyatta,Engage in symbolic act,Citizen (Kenya),2014-06-11
Police (Australia),Coerce,Citizen (Australia),2014-12-18
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-11-07
Foreign Affairs (Russia),Consult,Ilkka Kanerva,2014-09-04
Food and Agriculture Organization,Engage in negotiation,Head of Government (Egypt),2014-11-25
Arseniy Yatsenyuk,Consult,Barack Obama,2014-03-14
Protester (Ukraine),Demonstrate or rally,Police (Ukraine),2014-01-23
Raheel Sharif,Make a visit,Afghanistan,2014-11-06
Police (Hong Kong),Use tactics of violent repression,Protester (Hong Kong),2014-11-06
Catherine Ashton,Consult,John Kerry,2014-11-23
Ministry (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-06
Citizen (Kenya),Accuse,Police (Kenya),2014-07-18
Emmanuel Eweta Uduaghan,Demand,Citizen (Nigeria),2014-04-22
Barack Obama,Appeal for diplomatic cooperation (such as policy support),Iran,2014-11-17
Sheikh Hasina Wajed,Make an appeal or request,North Korea,2014-01-21
Fumio Kishida,Consult,Retno Marsudi,2014-11-08
Justice and Development Party,Appeal for change in leadership,Opposition Supporter (Turkey),2014-08-13
Sudan,Expel or deport individuals,Citizen (Sudan),2014-04-09
Benjamin Netanyahu,Reject,Barack Obama,2014-07-29
North Korea,Make statement,Tourist (United States),2014-06-06
Men (Cambodia),Use unconventional violence,Hun Sen,2014-04-11
China,Express intent to settle dispute,Afghanistan,2014-10-28
Court Judge (India),Express accord,Citizen (India),2014-09-05
