head,relation,tail,time
Riek Machar,Make a visit,Ethiopia,2014-01-03
Medical Personnel (Nigeria),Engage in negotiation,Government (Nigeria),2014-01-03
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-01-04
Iran,Host a visit,Envoy (United Kingdom),2014-01-04
Benjamin Netanyahu,Consult,John Kerry,2014-01-04
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-01-04
John Kerry,Consult,Benjamin Netanyahu,2014-01-04
"Head of Government (Palestinian Territory, Occupied)",Consult,John Kerry,2014-01-04
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-01-04
Mahinda Rajapaksa,Make a visit,Middle East,2014-01-04
John Kerry,Engage in negotiation,"Head of Government (Palestinian Territory, Occupied)",2014-01-04
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-01-04
Middle East,Host a visit,Mahinda Rajapaksa,2014-01-04
Envoy (United Kingdom),Make a visit,Iran,2014-01-04
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-04
Combatant (Al Qaeda),Use unconventional violence,Armed Rebel (Syria),2014-01-05
Mexico,Host a visit,Japan Self-Defense Forces,2014-01-05
Middle East,Host a visit,John Kerry,2014-01-05
Pier Ferdinando Casini,Make statement,Iran,2014-01-05
Jack Straw,Express intent to meet or negotiate,Iran,2014-01-05
North Korea,Engage in diplomatic cooperation,South Korea,2014-01-05
Pier Ferdinando Casini,Make a visit,Iran,2014-01-05
Armed Rebel (Syria),Occupy territory,Combatant (Al Qaeda),2014-01-05
Yoshitaka Shindo,Make a visit,Japan,2014-01-05
Iran,Host a visit,Jack Straw,2014-01-05
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-01-05
Japan,Host a visit,Yoshitaka Shindo,2014-01-05
Iran,Host a visit,Pier Ferdinando Casini,2014-01-05
Japan Self-Defense Forces,Make a visit,Mexico,2014-01-05
South Korea,Make pessimistic comment,North Korea,2014-01-05
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-05
John Kerry,Make a visit,Middle East,2014-01-05
Foreign Affairs (Italy),Make a visit,Iran,2014-01-06
Sudan,Praise or endorse,South Sudan,2014-01-06
Labor Union (India),Make an appeal or request,Citizen (India),2014-01-06
Iraq,Engage in negotiation,Nuri al-Maliki,2014-01-06
Labor Union (India),"Threaten with political dissent, protest",Citizen (India),2014-01-06
Iran,Host a visit,Foreign Affairs (Italy),2014-01-06
Cabinet / Council of Ministers / Advisors (United States),Demand,Benjamin Netanyahu,2014-01-06
Foreign Affairs (Norway),Express intent to meet or negotiate,Philippines,2014-01-06
Citizen (India),Accuse,Labor Union (India),2014-01-06
Police (Australia),Reject,Citizen (Australia),2014-01-06
Nuri al-Maliki,Make an appeal or request,Iraq,2014-01-06
European Parliament,Discuss by telephone,Antonis Samaras,2014-01-06
The Hague,Host a visit,William Ruto,2014-01-06
William Ruto,Express intent to meet or negotiate,The Hague,2014-01-06
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-01-06
Antonis Samaras,Reduce or break diplomatic relations,European Parliament,2014-01-06
Sudan,Reject,South Sudan,2014-01-06
Philippines,Engage in negotiation,Foreign Affairs (Norway),2014-01-06
John Kerry,Make statement,Benjamin Netanyahu,2014-01-06
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-01-06
Police (Australia),"Arrest, detain, or charge with legal action",Criminal (Australia),2014-01-06
Umar al Bashir,Make a visit,South Sudan,2014-01-06
Government (Nigeria),Make empathetic comment,Citizen (Nigeria),2014-01-06
Criminal (Australia),Use unconventional violence,Police (Australia),2014-01-06
Sunil Kumar,Sexually assault,Citizen (India),2014-01-06
Iran,Host a visit,European Parliament,2014-01-06
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-01-06
Citizen (Australia),Use unconventional violence,Police (Australia),2014-01-06
South Sudan,Express intent to cooperate,Sudan,2014-01-06
Police (Australia),Use conventional military force,Criminal (Australia),2014-01-06
Citizen (India),Accuse,Sunil Kumar,2014-01-06
European Parliament,Make a visit,Iran,2014-01-06
William Ruto,Make a visit,The Hague,2014-01-06
South Sudan,Host a visit,Umar al Bashir,2014-01-06
John Kerry,Demand,Benjamin Netanyahu,2014-01-06
Benjamin Netanyahu,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-01-06
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-07
M.K. Narayanan,Consult,Court Judge (India),2014-01-07
Joseph Robinette Biden,Discuss by telephone,Nuri al-Maliki,2014-01-07
France,Host a visit,Jean-Yves Le Drian,2014-01-07
Jack Straw,Make a visit,Iran,2014-01-07
Ireland,Express intent to meet or negotiate,Iran,2014-01-07
Jean-Yves Le Drian,Make a visit,France,2014-01-07
Jack Straw,Make statement,Iran,2014-01-07
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-07
Thailand,Appeal for diplomatic cooperation (such as policy support),Citizen (Thailand),2014-01-07
Iran,Host a visit,Emma Bonino,2014-01-07
Iran,Engage in diplomatic cooperation,Ireland,2014-01-07
Afghanistan,Host a visit,United States Senate,2014-01-07
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-01-07
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-01-07
Iran,Host a visit,Jack Straw,2014-01-07
Sergey Viktorovich Lavrov,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014-01-07
Joseph Robinette Biden,Consult,Nuri al-Maliki,2014-01-07
United States Senate,Make a visit,Afghanistan,2014-01-07
Mauritius,Make a visit,Maldives,2014-01-07
Jack Straw,Praise or endorse,Iran,2014-01-07
Iraq,Use conventional military force,Armed Gang (Al Qaeda),2014-01-07
Military Personnel (Yemen),Use conventional military force,Citizen (Yemen),2014-01-07
Citizen (Yemen),Use unconventional violence,Military Personnel (Yemen),2014-01-07
Maldives,Host a visit,Mauritius,2014-01-07
Armed Gang (Al Qaeda),Use unconventional violence,Iraq,2014-01-07
Nuri al-Maliki,Consult,Joseph Robinette Biden,2014-01-07
Emma Bonino,Make a visit,Iran,2014-01-07
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-07
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Sergey Viktorovich Lavrov,2014-01-07
Nuri al-Maliki,Discuss by telephone,Joseph Robinette Biden,2014-01-07
Court Judge (India),Make an appeal or request,M.K. Narayanan,2014-01-07
Citizen (Thailand),Express intent to meet or negotiate,Thailand,2014-01-07
Citizen (Thailand),"Defy norms, law",Thailand,2014-01-07
Lawmaker (United Kingdom),Make a visit,Iran,2014-01-08
Jack Straw,Make a visit,Iran,2014-01-08
South Sudan,Express intent to cooperate,Sudan,2014-01-08
Jack Straw,Make statement,Iran,2014-01-08
Emma Bonino,Make a visit,Macky Sall,2014-01-08
Other Authorities / Officials (Brazil),"Arrest, detain, or charge with legal action",Citizen (Brazil),2014-01-08
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Middle East,2014-01-08
Iran,Host a visit,Lawmaker (United Kingdom),2014-01-08
Citizen (Brazil),Criticize or denounce,Other Authorities / Officials (Brazil),2014-01-08
John Kerry,Make a visit,Middle East,2014-01-08
Iran,Host a visit,Emma Bonino,2014-01-08
Student (Kenya),Consult,Amason Kingi,2014-01-08
Joseph Robinette Biden,Praise or endorse,Nuri al-Maliki,2014-01-08
Iran,Host a visit,Majid Takht Ravanchi,2014-01-08
Sudan,Express intent to cooperate,South Sudan,2014-01-08
Emma Bonino,Make a visit,Iran,2014-01-08
Iran,Host a visit,Jack Straw,2014-01-08
Macky Sall,Host a visit,Emma Bonino,2014-01-08
Joseph Robinette Biden,Make an appeal or request,Nuri al-Maliki,2014-01-08
Majid Takht Ravanchi,Make statement,Iran,2014-01-08
Joseph Robinette Biden,Consult,Nuri al-Maliki,2014-01-08
South Sudan,Engage in negotiation,Sudan,2014-01-08
Majid Takht Ravanchi,Make a visit,Iran,2014-01-08
Amason Kingi,Make statement,Student (Kenya),2014-01-08
Citizen (Australia),Threaten,Police (Australia),2014-01-08
Sudan,Engage in negotiation,South Sudan,2014-01-08
Middle East,Host a visit,John Kerry,2014-01-08
Middle East,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-01-08
Nuri al-Maliki,Discuss by telephone,Joseph Robinette Biden,2014-01-08
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-01-08
Police (Australia),Accuse,Citizen (Australia),2014-01-08
Citizen (Australia),Threaten with military force,Police (Australia),2014-01-08
Morocco,Host a visit,Middle East,2014-01-09
Government Delegation (South Sudan),Make a visit,Seyoum Mesfin,2014-01-09
John Kerry,Make a visit,Kuwait,2014-01-09
Citizen (Brazil),Use unconventional violence,Criminal (Brazil),2014-01-09
Iran,Host a visit,Jack Straw,2014-01-09
Kuwait,Host a visit,John Kerry,2014-01-09
Sheikh Hasina Wajed,Make an appeal or request,Abdul Hamid,2014-01-09
Mohammad Javad Zarif,Consult,Jack Straw,2014-01-09
Iran,Host a visit,Foreign Affairs (Italy),2014-01-09
Haiti,Consult,Dominican Republic,2014-01-09
Dominican Republic,Consult,Haiti,2014-01-09
Jacob J. Lew,Make a visit,Portugal,2014-01-09
Joseph Robinette Biden,Consult,Nuri al-Maliki,2014-01-09
Iran,Consult,Jack Straw,2014-01-09
Phung Quang Thanh,Make a visit,Vietnam,2014-01-09
Middle East,Make a visit,Morocco,2014-01-09
Jack Straw,Make a visit,Iran,2014-01-09
Dominican Republic,Engage in negotiation,Haiti,2014-01-09
Angela Merkel,Discuss by telephone,Barack Obama,2014-01-09
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-01-09
Nuri al-Maliki,Discuss by telephone,Joseph Robinette Biden,2014-01-09
Haiti,Engage in negotiation,Dominican Republic,2014-01-09
Jack Straw,"Ease economic sanctions, boycott, embargo",Iran,2014-01-09
Abdul Hamid,Consult,Sheikh Hasina Wajed,2014-01-09
Seyoum Mesfin,Praise or endorse,Government Delegation (South Sudan),2014-01-09
Criminal (Brazil),Kill by physical assault,Citizen (Brazil),2014-01-09
Nuri al-Maliki,Consult,Joseph Robinette Biden,2014-01-09
Lawyer/Attorney (Turkey),Make an appeal or request,Citizen (Turkey),2014-01-09
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-01-09
Barack Obama,Praise or endorse,Angela Merkel,2014-01-09
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-01-09
Vietnam,Host a visit,Phung Quang Thanh,2014-01-09
France,Make statement,Japan,2014-01-09
Joseph Robinette Biden,Make an appeal or request,Nuri al-Maliki,2014-01-09
Jack Straw,"Impose embargo, boycott, or sanctions",Iran,2014-01-09
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-01-09
Philippines,Use conventional military force,Islamic Extremist Group (Philippines),2014-01-09
John Kerry,Make a visit,Middle East,2014-01-09
Jack Straw,Make statement,Mohammad Javad Zarif,2014-01-09
Seyoum Mesfin,Host a visit,Government Delegation (South Sudan),2014-01-09
Foreign Affairs (Italy),Make a visit,Iran,2014-01-09
Joseph Robinette Biden,Discuss by telephone,Nuri al-Maliki,2014-01-09
Iran,Host a visit,European Parliament,2014-01-09
European Parliament,Make a visit,Iran,2014-01-09
Citizen (Turkey),Appeal for diplomatic cooperation (such as policy support),Lawyer/Attorney (Turkey),2014-01-09
Japan,Express intent to cooperate,France,2014-01-09
Sheikh Hasina Wajed,Make an appeal or request,Member of Parliament (Bangladesh),2014-01-09
Middle East,Host a visit,John Kerry,2014-01-09
Portugal,Host a visit,Jacob J. Lew,2014-01-09
Islamic Extremist Group (Philippines),Use unconventional violence,Philippines,2014-01-09
Member of Parliament (Bangladesh),Make statement,Sheikh Hasina Wajed,2014-01-09
Awami (People's) League,Express intent to cooperate,Bangladesh Nationalist Party,2014-01-10
Government Official (United States),Make a visit,Romania,2014-01-10
Emma Bonino,Make a visit,Iran,2014-01-10
Citizen (Thailand),Make optimistic comment,Protester (Thailand),2014-01-10
Majid Takht Ravanchi,Make a visit,Iran,2014-01-10
Iran,Host a visit,Jack Straw,2014-01-10
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-01-10
Romania,Host a visit,Government Official (United States),2014-01-10
Majid Takht Ravanchi,Make statement,Iran,2014-01-10
South Korea,"Reject proposal to meet, discuss, or negotiate",Japan,2014-01-10
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-10
Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014-01-10
Bangladesh Nationalist Party,Express intent to engage in diplomatic cooperation (such as policy support),Awami (People's) League,2014-01-10
Awami (People's) League,Express intent to engage in diplomatic cooperation (such as policy support),Bangladesh Nationalist Party,2014-01-10
Bangladesh Nationalist Party,Express intent to cooperate,Awami (People's) League,2014-01-10
Iran,Host a visit,Emma Bonino,2014-01-10
Somsavat Lengsava,Make a visit,Nguyen Xuan Phuc,2014-01-10
Iran,Host a visit,Majid Takht Ravanchi,2014-01-10
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-10
Nguyen Xuan Phuc,Host a visit,Somsavat Lengsava,2014-01-10
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-01-10
Jack Straw,Make a visit,Iran,2014-01-10
Protester (Thailand),Appeal for diplomatic cooperation (such as policy support),Citizen (Thailand),2014-01-10
Opposition Activist (Ukraine),Use unconventional violence,Kiev police,2014-01-11
Government Official (United States),Make a visit,Romania,2014-01-11
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-11
Citizen (Sudan),Occupy territory,Sudan,2014-01-11
Police (Ukraine),Use conventional military force,Protester (Ukraine),2014-01-11
Police (Ukraine),Use tactics of violent repression,Protester (Ukraine),2014-01-11
Julius Malema,Make a visit,South Africa,2014-01-11
Sudan,Appeal for de-escalation of military engagement,Citizen (Sudan),2014-01-11
South Africa,Host a visit,Julius Malema,2014-01-11
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-11
Sergey Viktorovich Lavrov,Sign formal agreement,John Kerry,2014-01-11
Romania,Host a visit,Government Official (United States),2014-01-11
Police (Ukraine),Use conventional military force,Opposition Activist (Ukraine),2014-01-11
Ibrahim Boubacar Keïta,Make a visit,Mauritania,2014-01-11
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Romania,2014-01-11
Opposition Activist (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-11
Kiev police,Use conventional military force,Opposition Activist (Ukraine),2014-01-11
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-11
John Kerry,Sign formal agreement,Sergey Viktorovich Lavrov,2014-01-11
Mauritania,Host a visit,Ibrahim Boubacar Keïta,2014-01-11
Romania,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-01-11
South Sudan,Make an appeal or request,Riek Machar,2014-01-12
France,Host a visit,Foreign Affairs (Russia),2014-01-12
Foreign Affairs (Russia),Make a visit,France,2014-01-12
John Kerry,Make a visit,France,2014-01-12
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-12
Catherine Ashton,Make a visit,Iran,2014-01-12
Riek Machar,Reject,South Sudan,2014-01-12
Citizen (India),Make an appeal or request,Villager (India),2014-01-12
John Kerry,Express intent to meet or negotiate,France,2014-01-12
Iran,Host a visit,Catherine Ashton,2014-01-12
Police (Ukraine),Use tactics of violent repression,Protester (Ukraine),2014-01-12
France,Host a visit,John Kerry,2014-01-12
Villager (India),Accuse,Citizen (India),2014-01-12
Iran,Host a visit,Majid Takht Ravanchi,2014-01-12
Member of Parliament (India),Criticize or denounce,Citizen (India),2014-01-12
Citizen (India),Make an appeal or request,Member of Parliament (India),2014-01-12
Catherine Ashton,Express intent to meet or negotiate,Iran,2014-01-12
Iran,Make an appeal or request,Catherine Ashton,2014-01-12
Majid Takht Ravanchi,Make a visit,Iran,2014-01-12
Majid Takht Ravanchi,Make statement,Iran,2014-01-12
Nuri al-Maliki,Make statement,Iraq,2014-01-13
Romania,Host a visit,Victoria Nuland,2014-01-13
France,Meet at a 'third' location,China,2014-01-13
Kuwait,Host a visit,Mohammad Javad Zarif,2014-01-13
Catherine Ashton,Make a visit,United Arab Emirates,2014-01-13
Sergey Viktorovich Lavrov,Praise or endorse,John Kerry,2014-01-13
Iraq,Make an appeal or request,Nuri al-Maliki,2014-01-13
Nuri al-Maliki,Make an appeal or request,Iraq,2014-01-13
Police (Australia),Make an appeal or request,Citizen (Australia),2014-01-13
Mohammad Javad Zarif,Make a visit,Iraq,2014-01-13
Government Official (United States),Make a visit,Romania,2014-01-13
Zakir Hasanov,Make a visit,France,2014-01-13
Citizen (Australia),Accuse,Police (Australia),2014-01-13
Mohammad Javad Zarif,Make a visit,Kuwait,2014-01-13
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-01-13
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-01-13
Foreign Affairs (Russia),Make a visit,Iran,2014-01-13
Iran,Host a visit,Foreign Affairs (Russia),2014-01-13
Nationalist Movement Party,Consult,Abdullah Gül,2014-01-13
Sergey Viktorovich Lavrov,Consult,Mohammad Javad Zarif,2014-01-13
Iraq,Consult,Nuri al-Maliki,2014-01-13
United Arab Emirates,Host a visit,Catherine Ashton,2014-01-13
Nuri al-Maliki,Consult,Iraq,2014-01-13
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-01-13
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-01-13
Jack Straw,"Ease economic sanctions, boycott, embargo",Iran,2014-01-13
Opposition Activist (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-13
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-13
Jack Straw,Make optimistic comment,Iran,2014-01-13
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-01-13
Japan,Express intent to provide economic aid,Ethiopia,2014-01-13
Abdullah Gül,Express intent to meet or negotiate,Nationalist Movement Party,2014-01-13
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-01-13
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-01-13
Ethiopia,Make statement,Japan,2014-01-13
Ethiopia,Express intent to meet or negotiate,Japan,2014-01-13
Police (Ukraine),Use tactics of violent repression,Opposition Activist (Ukraine),2014-01-13
Protester (Thailand),"Protest violently, riot",Activist (Thailand),2014-01-13
Catherine Ashton,Make a visit,Kuwait,2014-01-13
Japan,Express intent to meet or negotiate,Ethiopia,2014-01-13
Activist (Thailand),Use conventional military force,Protester (Thailand),2014-01-13
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-01-13
Jack Straw,Consult,Iran,2014-01-13
Mohammad Javad Zarif,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-13
Kuwait,Host a visit,Catherine Ashton,2014-01-13
Victoria Nuland,Make a visit,Romania,2014-01-13
Iran,Host a visit,Jack Straw,2014-01-13
Jack Straw,Make a visit,Iran,2014-01-13
Mohammad Javad Zarif,Express intent to meet or negotiate,Iraq,2014-01-13
Romania,Host a visit,Government Official (United States),2014-01-13
Iran,Consult,Jack Straw,2014-01-13
Police (Australia),Investigate,Citizen (Australia),2014-01-13
Yoshitaka Shindo,Make a visit,Philippines,2014-01-13
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-13
Philippines,Host a visit,Yoshitaka Shindo,2014-01-13
China,Express intent to meet or negotiate,France,2014-01-13
Iraq,Host a visit,Mohammad Javad Zarif,2014-01-13
France,Consult,China,2014-01-13
France,Host a visit,Zakir Hasanov,2014-01-13
China,Host a visit,Nicolai Wammen,2014-01-14
Tajikistan,Engage in diplomatic cooperation,Afghanistan,2014-01-14
North Atlantic Treaty Organization,Make a visit,Romania,2014-01-14
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-01-14
Joseph Robinette Biden,Make a visit,Shimon Peres,2014-01-14
Middle East,Host a visit,John Kerry,2014-01-14
Kuwait,Host a visit,Catherine Ashton,2014-01-14
China,Express intent to engage in diplomatic cooperation (such as policy support),France,2014-01-14
Tajikistan,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-01-14
Nuri al-Maliki,Make statement,Iraq,2014-01-14
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-14
Iraq,Consult,Mohammad Javad Zarif,2014-01-14
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-01-14
John Kerry,Sign formal agreement,Sergey Viktorovich Lavrov,2014-01-14
Catherine Ashton,Make a visit,Kuwait,2014-01-14
Middle East,Host a visit,Mohammad Javad Zarif,2014-01-14
Iraq,Engage in negotiation,Nuri al-Maliki,2014-01-14
Romania,Host a visit,North Atlantic Treaty Organization,2014-01-14
Sergey Viktorovich Lavrov,Sign formal agreement,John Kerry,2014-01-14
John Kerry,Make a visit,Middle East,2014-01-14
Envoy (United States),Make a visit,Angola,2014-01-14
Tanzania,Host a visit,Head of Government (Comoros),2014-01-14
Mohammad Javad Zarif,Make a visit,Iraq,2014-01-14
Head of Government (Comoros),Make a visit,Tanzania,2014-01-14
Iraq,Praise or endorse,Mohammad Javad Zarif,2014-01-14
France,Host a visit,Sergey Viktorovich Lavrov,2014-01-14
Head of Government (Comoros),Make statement,Tanzania,2014-01-14
John Kerry,Halt negotiations,Pietro Parolin,2014-01-14
France,Express intent to cooperate,China,2014-01-14
Mohammad Javad Zarif,Consult,Iraq,2014-01-14
Iraq,Host a visit,Mohammad Javad Zarif,2014-01-14
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-14
Afghanistan,Engage in diplomatic cooperation,Tajikistan,2014-01-14
Angola,Host a visit,Envoy (United States),2014-01-14
Iran,Host a visit,Ireland,2014-01-14
Mohammad Javad Zarif,Express intent to meet or negotiate,Iraq,2014-01-14
Iraq,Sign formal agreement,Iran,2014-01-14
Foreign Affairs (Russia),Make statement,Government (Syria),2014-01-14
Sergey Viktorovich Lavrov,Make a visit,France,2014-01-14
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-01-14
Mohammad Javad Zarif,Make a visit,Middle East,2014-01-14
Shimon Peres,Host a visit,Joseph Robinette Biden,2014-01-14
Government (Syria),Consult,Foreign Affairs (Russia),2014-01-14
Afghanistan,Express intent to engage in diplomatic cooperation (such as policy support),Tajikistan,2014-01-14
Nicolai Wammen,Make a visit,China,2014-01-14
Iran,Engage in diplomatic cooperation,Iraq,2014-01-14
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-14
Pietro Parolin,Consult,John Kerry,2014-01-14
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-01-14
Mohammad Javad Zarif,Make statement,Iraq,2014-01-14
Sergey Viktorovich Lavrov,Praise or endorse,John Kerry,2014-01-14
Ireland,Make a visit,Iran,2014-01-14
Majid Takht Ravanchi,Make a visit,Iran,2014-01-15
Farm Worker (Nigeria),Use conventional military force,Citizen (Nigeria),2014-01-15
Serbia,Host a visit,Food and Agriculture Organization,2014-01-15
Hezbollah,Host a visit,Mohammad Javad Zarif,2014-01-15
Food and Agriculture Organization,Make a visit,Serbia,2014-01-15
Seyoum Mesfin,Make a visit,South Sudan,2014-01-15
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-01-15
John Kerry,Make a visit,Middle East,2014-01-15
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-15
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-01-15
South Sudan,Host a visit,Seyoum Mesfin,2014-01-15
Citizen (Nigeria),Use unconventional violence,Farm Worker (Nigeria),2014-01-15
Majid Takht Ravanchi,Make statement,Iran,2014-01-15
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-15
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-01-15
Thaksin Shinawatra,Make an appeal or request,Citizen (Thailand),2014-01-15
Middle East,Host a visit,John Kerry,2014-01-15
Iraq,Consult,Mohammad Javad Zarif,2014-01-15
John Kerry,Sign formal agreement,Sergey Viktorovich Lavrov,2014-01-15
